,Unnamed: 0,epoch (ms),timestamp (-0400),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
98035,104921,1581446996048,2020-02-11T13.49.56.048,8544.741,0.287,-0.14800000000000002,0.937
98036,104922,1581446996051,2020-02-11T13.49.56.051,8544.744,0.289,-0.146,0.935
98037,104923,1581446996054,2020-02-11T13.49.56.054,8544.747,0.28600000000000003,-0.14400000000000002,0.931
98038,104924,1581446996057,2020-02-11T13.49.56.057,8544.75,0.285,-0.145,0.933
98039,104925,1581446996058,2020-02-11T13.49.56.058,8544.751,0.292,-0.141,0.94
98040,104926,1581446996061,2020-02-11T13.49.56.061,8544.754,0.298,-0.14,0.939
98041,104927,1581446996064,2020-02-11T13.49.56.064,8544.757,0.294,-0.142,0.939
98042,104928,1581446996065,2020-02-11T13.49.56.065,8544.758,0.292,-0.14400000000000002,0.937
98043,104929,1581446996068,2020-02-11T13.49.56.068,8544.761,0.287,-0.147,0.935
98044,104930,1581446996071,2020-02-11T13.49.56.071,8544.764000000001,0.292,-0.154,0.936
98045,104931,1581446996074,2020-02-11T13.49.56.074,8544.767,0.29600000000000004,-0.149,0.939
98046,104932,1581446996076,2020-02-11T13.49.56.076,8544.769,0.293,-0.15,0.929
98047,104933,1581446996079,2020-02-11T13.49.56.079,8544.771999999999,0.289,-0.15,0.931
98048,104934,1581446996081,2020-02-11T13.49.56.081,8544.774,0.28800000000000003,-0.14800000000000002,0.934
98049,104935,1581446996083,2020-02-11T13.49.56.083,8544.776,0.292,-0.152,0.933
98050,104936,1581446996086,2020-02-11T13.49.56.086,8544.779,0.292,-0.152,0.933
98051,104937,1581446996089,2020-02-11T13.49.56.089,8544.782,0.289,-0.14800000000000002,0.935
98052,104938,1581446996092,2020-02-11T13.49.56.092,8544.785,0.29,-0.149,0.928
98053,104939,1581446996093,2020-02-11T13.49.56.093,8544.786,0.292,-0.14800000000000002,0.935
98054,104940,1581446996096,2020-02-11T13.49.56.096,8544.789,0.292,-0.156,0.93
98055,104941,1581446996099,2020-02-11T13.49.56.099,8544.792,0.289,-0.158,0.922
98056,104942,1581446996101,2020-02-11T13.49.56.101,8544.794,0.287,-0.153,0.932
98057,104943,1581446996103,2020-02-11T13.49.56.103,8544.796,0.289,-0.151,0.938
98058,104944,1581446996106,2020-02-11T13.49.56.106,8544.799,0.289,-0.152,0.933
98059,104945,1581446996109,2020-02-11T13.49.56.109,8544.802,0.287,-0.153,0.933
98060,104946,1581446996111,2020-02-11T13.49.56.111,8544.804,0.29,-0.152,0.927
98061,104947,1581446996114,2020-02-11T13.49.56.114,8544.806999999999,0.289,-0.153,0.928
98062,104948,1581446996117,2020-02-11T13.49.56.117,8544.81,0.28800000000000003,-0.147,0.928
98063,104949,1581446996120,2020-02-11T13.49.56.120,8544.813,0.287,-0.146,0.929
98064,104950,1581446996121,2020-02-11T13.49.56.121,8544.814,0.29100000000000004,-0.146,0.938
98065,104951,1581446996124,2020-02-11T13.49.56.124,8544.817,0.298,-0.14300000000000002,0.939
98066,104952,1581446996127,2020-02-11T13.49.56.127,8544.82,0.294,-0.141,0.938
98067,104953,1581446996128,2020-02-11T13.49.56.128,8544.821,0.292,-0.14300000000000002,0.94
98068,104954,1581446996131,2020-02-11T13.49.56.131,8544.824,0.298,-0.15,0.936
98069,104955,1581446996134,2020-02-11T13.49.56.134,8544.827,0.289,-0.157,0.935
98070,104956,1581446996137,2020-02-11T13.49.56.137,8544.83,0.289,-0.153,0.931
98071,104957,1581446996139,2020-02-11T13.49.56.139,8544.832,0.29600000000000004,-0.14400000000000002,0.944
98072,104958,1581446996142,2020-02-11T13.49.56.142,8544.835,0.298,-0.139,0.947
98073,104959,1581446996144,2020-02-11T13.49.56.144,8544.837,0.292,-0.149,0.935
98074,104960,1581446996147,2020-02-11T13.49.56.147,8544.84,0.28600000000000003,-0.146,0.935
98075,104961,1581446996149,2020-02-11T13.49.56.149,8544.841999999999,0.294,-0.134,0.944
98076,104962,1581446996152,2020-02-11T13.49.56.152,8544.845,0.302,-0.139,0.947
98077,104963,1581446996155,2020-02-11T13.49.56.155,8544.848,0.303,-0.152,0.95
98078,104964,1581446996156,2020-02-11T13.49.56.156,8544.849,0.303,-0.146,0.946
98079,104965,1581446996159,2020-02-11T13.49.56.159,8544.851999999999,0.297,-0.14,0.94
98080,104966,1581446996162,2020-02-11T13.49.56.162,8544.855,0.301,-0.138,0.936
98081,104967,1581446996165,2020-02-11T13.49.56.165,8544.858,0.304,-0.14400000000000002,0.942
98082,104968,1581446996166,2020-02-11T13.49.56.166,8544.859,0.305,-0.146,0.948
98083,104969,1581446996169,2020-02-11T13.49.56.169,8544.862,0.303,-0.153,0.937
98084,104970,1581446996172,2020-02-11T13.49.56.172,8544.865,0.299,-0.154,0.931
98085,104971,1581446996174,2020-02-11T13.49.56.174,8544.867,0.297,-0.153,0.942
98086,104972,1581446996177,2020-02-11T13.49.56.177,8544.87,0.287,-0.149,0.946
98087,104973,1581446996180,2020-02-11T13.49.56.180,8544.873,0.28,-0.135,0.936
98088,104974,1581446996183,2020-02-11T13.49.56.183,8544.876,0.275,-0.139,0.926
98089,104975,1581446996184,2020-02-11T13.49.56.184,8544.877,0.268,-0.158,0.912
98090,104976,1581446996187,2020-02-11T13.49.56.187,8544.88,0.27,-0.14300000000000002,0.922
98091,104977,1581446996190,2020-02-11T13.49.56.190,8544.883,0.293,-0.125,0.964
98092,104978,1581446996191,2020-02-11T13.49.56.191,8544.884,0.303,-0.142,0.961
98093,104979,1581446996194,2020-02-11T13.49.56.194,8544.886999999999,0.3,-0.179,0.916
98094,104980,1581446996197,2020-02-11T13.49.56.197,8544.89,0.275,-0.161,0.913
98095,104981,1581446996200,2020-02-11T13.49.56.200,8544.893,0.279,-0.124,0.938
98096,104982,1581446996202,2020-02-11T13.49.56.202,8544.895,0.28600000000000003,-0.14300000000000002,0.934
98097,104983,1581446996205,2020-02-11T13.49.56.205,8544.898000000001,0.302,-0.175,0.936
98098,104984,1581446996207,2020-02-11T13.49.56.207,8544.9,0.298,-0.159,0.946
98099,104985,1581446996210,2020-02-11T13.49.56.210,8544.903,0.292,-0.13,0.943
98100,104986,1581446996212,2020-02-11T13.49.56.212,8544.905,0.293,-0.155,0.927
98101,104987,1581446996215,2020-02-11T13.49.56.215,8544.908000000001,0.289,-0.179,0.91
98102,104988,1581446996218,2020-02-11T13.49.56.218,8544.911,0.284,-0.16899999999999998,0.922
98103,104989,1581446996219,2020-02-11T13.49.56.219,8544.912,0.28800000000000003,-0.15,0.931
98104,104990,1581446996222,2020-02-11T13.49.56.222,8544.915,0.289,-0.154,0.937
98105,104991,1581446996225,2020-02-11T13.49.56.225,8544.918,0.295,-0.159,0.937
98106,104992,1581446996228,2020-02-11T13.49.56.228,8544.921,0.287,-0.147,0.935
98107,104993,1581446996229,2020-02-11T13.49.56.229,8544.921999999999,0.28800000000000003,-0.139,0.937
98108,104994,1581446996232,2020-02-11T13.49.56.232,8544.925,0.287,-0.15,0.937
98109,104995,1581446996235,2020-02-11T13.49.56.235,8544.928,0.29,-0.15,0.936
98110,104996,1581446996237,2020-02-11T13.49.56.237,8544.93,0.294,-0.135,0.937
98111,104997,1581446996240,2020-02-11T13.49.56.240,8544.933,0.297,-0.132,0.941
98112,104998,1581446996243,2020-02-11T13.49.56.243,8544.936,0.294,-0.14800000000000002,0.936
98113,104999,1581446996246,2020-02-11T13.49.56.246,8544.939,0.294,-0.16399999999999998,0.936
98114,105000,1581446996247,2020-02-11T13.49.56.247,8544.94,0.293,-0.166,0.931
98115,105001,1581446996250,2020-02-11T13.49.56.250,8544.943000000001,0.29,-0.16699999999999998,0.922
98116,105002,1581446996253,2020-02-11T13.49.56.253,8544.946,0.28800000000000003,-0.174,0.924
98117,105003,1581446996254,2020-02-11T13.49.56.254,8544.947,0.28600000000000003,-0.179,0.921
98118,105004,1581446996257,2020-02-11T13.49.56.257,8544.95,0.29,-0.17600000000000002,0.926
98119,105005,1581446996260,2020-02-11T13.49.56.260,8544.953000000001,0.287,-0.16699999999999998,0.924
98120,105006,1581446996263,2020-02-11T13.49.56.263,8544.956,0.282,-0.16899999999999998,0.918
98121,105007,1581446996265,2020-02-11T13.49.56.265,8544.958,0.279,-0.17,0.927
98122,105008,1581446996267,2020-02-11T13.49.56.267,8544.96,0.276,-0.166,0.928
98123,105009,1581446996270,2020-02-11T13.49.56.270,8544.963,0.292,-0.16699999999999998,0.928
98124,105010,1581446996273,2020-02-11T13.49.56.273,8544.966,0.275,-0.163,0.928
98125,105011,1581446996275,2020-02-11T13.49.56.275,8544.968,0.282,-0.16699999999999998,0.921
98126,105012,1581446996278,2020-02-11T13.49.56.278,8544.971,0.28800000000000003,-0.16699999999999998,0.933
98127,105013,1581446996281,2020-02-11T13.49.56.281,8544.974,0.301,-0.159,0.944
98128,105014,1581446996282,2020-02-11T13.49.56.282,8544.975,0.302,-0.146,0.948
98129,105015,1581446996285,2020-02-11T13.49.56.285,8544.978000000001,0.305,-0.14300000000000002,0.948
98130,105016,1581446996288,2020-02-11T13.49.56.288,8544.981,0.306,-0.146,0.945
98131,105017,1581446996291,2020-02-11T13.49.56.291,8544.984,0.304,-0.14400000000000002,0.943
98132,105018,1581446996292,2020-02-11T13.49.56.292,8544.985,0.307,-0.15,0.939
98133,105019,1581446996295,2020-02-11T13.49.56.295,8544.988000000001,0.305,-0.156,0.928
98134,105020,1581446996298,2020-02-11T13.49.56.298,8544.991,0.299,-0.165,0.921
98135,105021,1581446996301,2020-02-11T13.49.56.301,8544.994,0.303,-0.16899999999999998,0.928
98136,105022,1581446996303,2020-02-11T13.49.56.303,8544.996,0.298,-0.171,0.932
