System ID,,"4483J11304"
Method name only,,"Tension_Round_NEW"
Test type,,"Tension"
Sample file name,,"C01A1045CR"
Last test date,,"Monday, February 7, 2022"
Last test time,,"11:03:11 AM"
Course,,"CEE300"
Lab Section Number,,"AB01"
Group,,"A"
Material,,"STEELS1045"
Heat Treatment,,"CR"
Other Information,,""
Crosshead Speed,(mm/min),"4.00"
Geometry,,"Circular"
Gage Diameter,(mm),"7.25"
Grip Diameter,(mm),"12.78"
Rockwell Hardness,,"96.3"
Rockwell Scale,,"HRB"
Extensometer Gage Length,(mm),"25.40"
Final Gage Diameter,(mm),"5.54"
Fracture Notes and Location,,"Cup and cone. Necking. "
Notes During Test,,""

Results Table 1
,,"1"
Maximum Force,(kN),"32.53"
Maximum Strain,(%),"16.14"

Time,Displacement,Force,Strain 1
(s),(mm),(kN),(mm/mm)
"0.00","0.00","-0.03398","0.0000001772"
"0.50","0.03","0.5951","0.00005244"
"1.00","0.06","1.286","0.00008803"
"1.50","0.10","1.702","0.0001836"
"2.00","0.13","2.030","0.0001946"
"2.50","0.16","2.325","0.0002285"
"3.00","0.20","2.582","0.0003535"
"3.50","0.23","2.816","0.0004243"
"4.00","0.26","3.039","0.0003636"
"4.50","0.30","3.247","0.0003889"
"5.00","0.33","3.449","0.0004292"
"5.50","0.36","3.644","0.0004316"
"6.00","0.40","3.832","0.0004404"
"6.50","0.43","4.022","0.0004603"
"7.00","0.46","4.205","0.0005329"
"7.50","0.50","4.394","0.0005447"
"8.00","0.53","4.586","0.0005134"
"8.50","0.56","4.777","0.0005936"
"9.00","0.60","4.966","0.0005662"
"9.50","0.63","5.174","0.0005849"
"10.00","0.66","5.378","0.0005838"
"10.50","0.70","5.610","0.0007365"
"11.00","0.73","5.784","0.0007172"
"11.50","0.76","5.999","0.0007554"
"12.00","0.80","6.269","0.0007345"
"12.50","0.83","6.753","0.0007322"
"13.00","0.86","7.052","0.0007965"
"13.50","0.90","7.297","0.0007898"
"14.00","0.93","7.536","0.0008416"
"14.50","0.96","7.784","0.0008282"
"15.00","1.00","8.038","0.0009736"
"15.50","1.03","8.296","0.0009978"
"16.00","1.06","8.552","0.001036"
"16.50","1.10","8.818","0.001041"
"17.00","1.13","9.085","0.001070"
"17.50","1.16","9.367","0.001108"
"18.00","1.20","9.630","0.001129"
"18.50","1.23","9.900","0.001169"
"19.00","1.26","10.18","0.001228"
"19.50","1.30","10.47","0.001183"
