System ID,,"4483J11304"
Method name only,,"Tension_Round_NEW"
Test type,,"Tension"
Sample file name,,"C02A1045CR"
Last test date,,"Monday, February 7, 2022"
Last test time,,"3:02:57 PM"
Course,,"CEE 300"
Lab Section Number,,"AB2"
Group,,"A"
Material,,"1045 Steel"
Heat Treatment,,"Cold Rolled"
Other Information,,""
Crosshead Speed,(mm/min),"4.00"
Geometry,,"Circular"
Gage Diameter,(mm),"7.26"
Grip Diameter,(mm),"12.11"
Rockwell Hardness,,"96.9"
Rockwell Scale,,"HRC"
Extensometer Gage Length,(mm),"25.40"
Final Gage Diameter,(mm),"5.99"
Fracture Notes and Location,,"Cup and cone fracture with shear on the edges. Flat fracture in the center.
"
Notes During Test,,""

Results Table 1
,,"1"
Maximum Force,(kN),"33.46"
Maximum Strain,(%),"16.90"

Time,Displacement,Force,Strain 1
(s),(mm),(kN),(mm/mm)
"0.00","0.00","-0.1386","-0.00002057"
"0.50","0.03","0.3801","0.00002767"
"1.00","0.06","0.9363","0.00009611"
"1.50","0.10","1.310","0.00007965"
"2.00","0.13","1.609","0.0001433"
"2.50","0.16","1.861","0.0002391"
"3.00","0.20","2.074","0.0002687"
"3.50","0.23","2.272","0.0002423"
"4.00","0.26","2.461","0.0003600"
"4.50","0.30","2.647","0.0003304"
"5.00","0.33","2.827","0.0003603"
"5.50","0.36","3.002","0.0004395"
"6.00","0.40","3.177","0.0004400"
"6.50","0.43","3.345","0.0004277"
"7.00","0.46","3.512","0.0005534"
"7.50","0.50","3.673","0.0005049"
"8.00","0.53","3.833","0.0004861"
"8.50","0.56","4.002","0.0005319"
"9.00","0.60","4.191","0.0005240"
"9.50","0.63","4.343","0.0005284"
"10.00","0.66","4.526","0.0004728"
"10.50","0.70","4.711","0.0006337"
"11.00","0.73","4.905","0.0006713"
"11.50","0.76","5.098","0.0006671"
"12.00","0.80","5.299","0.0006625"
"12.50","0.83","5.504","0.0006974"
"13.00","0.86","5.716","0.0007901"
"13.50","0.90","5.952","0.0008450"
"14.00","0.93","6.138","0.0008308"
"14.50","0.96","6.422","0.0007551"
"15.00","1.00","6.654","0.0007929"
"15.50","1.03","6.899","0.0008579"
"16.00","1.06","7.113","0.0009240"
"16.50","1.10","7.359","0.0009817"
"17.00","1.13","7.615","0.001009"
"17.50","1.16","7.864","0.0009996"
"18.00","1.20","8.120","0.001022"
"18.50","1.23","8.380","0.0009953"
"19.00","1.26","8.638","0.001099"
"19.50","1.30","8.908","0.001130"
"20.00","1.33","9.175","0.001114"
"20.50","1.36","9.448","0.001248"
"21.00","1.40","9.723","0.001245"
"21.50","1.43","10.01","0.001229"
"22.00","1.46","10.29","0.001268"
"22.50","1.50","10.57","0.001377"
"23.00","1.53","10.86","0.001384"
"23.50","1.56","11.16","0.001403"
"24.00","1.60","11.45","0.001404"
"24.50","1.63","11.74","0.001546"
"25.00","1.66","12.03","0.001575"
