System ID,,"4483J11304"
Method name only,,"Tension_Round_NEW"
Test type,,"Tension"
Sample file name,,"C03A1045CR"
Last test date,,"Wednesday, February 9, 2022"
Last test time,,"11:13:58 AM"
Course,,"C"
Lab Section Number,,"03"
Group,,"A"
Material,,"1045"
Heat Treatment,,"CR"
Other Information,,""
Crosshead Speed,(mm/min),"4.00"
Geometry,,"Circular"
Gage Diameter,(mm),"7.21"
Grip Diameter,(mm),"12.76"
Rockwell Hardness,,"95.7"
Rockwell Scale,,"HRB"
Extensometer Gage Length,(mm),"25.40"
Final Gage Diameter,(mm),"5.98"
Fracture Notes and Location,,"cold rolled failed. Ultimate stress was greater for cold rolled compared to normailized. Strain at failure was greater for normalized compared to colled rolled. Cup and cone fracture for normalized. shear fracture was seen for cold rolled"
Notes During Test,,""

Results Table 1
,,"1"
Maximum Force,(kN),"31.88"
Maximum Strain,(%),"16.73"

Time,Displacement,Force,Strain 1
(s),(mm),(kN),(mm/mm)
"0.00","0.00","0.1330","-0.00005449"
"0.50","0.03","0.5580","-0.000001486"
"1.00","0.06","0.7196","0.000001682"
"1.50","0.10","0.8387","0.00009707"
"2.00","0.13","0.9441","0.0002051"
"2.50","0.16","1.046","0.0001178"
"3.00","0.20","1.128","0.0001713"
"3.50","0.23","1.207","0.0001252"
"4.00","0.26","1.276","0.0003143"
"4.50","0.30","1.343","0.0001975"
"5.00","0.33","1.407","0.0002368"
"5.50","0.36","1.472","0.0001807"
"6.00","0.40","1.531","0.0002051"
"6.50","0.43","1.592","0.0001676"
"7.00","0.46","1.648","0.0001803"
"7.50","0.50","1.701","0.0002034"
"8.00","0.53","1.762","0.0002212"
"8.50","0.56","1.823","0.0002964"
"9.00","0.60","1.882","0.0002335"
"9.50","0.63","1.949","0.0003084"
"10.00","0.66","2.016","0.0001966"
"10.50","0.70","2.093","0.0001584"
"11.00","0.73","2.182","0.0002834"
"11.50","0.76","2.413","0.0002244"
"12.00","0.80","2.526","0.0004297"
"12.50","0.83","2.715","0.0002866"
"13.00","0.86","2.918","0.0003384"
"13.50","0.90","3.108","0.0002849"
"14.00","0.93","3.284","0.0005515"
"14.50","0.96","3.440","0.0005853"
"15.00","1.00","3.631","0.0003996"
"15.50","1.03","3.805","0.0005419"
"16.00","1.06","3.975","0.0004471"
"16.50","1.10","4.150","0.0005417"
"17.00","1.13","4.333","0.0005108"
"17.50","1.16","4.519","0.0004939"
"18.00","1.20","4.713","0.0005344"
"18.50","1.23","4.905","0.0005782"
"19.00","1.26","5.111","0.0005437"
"19.50","1.30","5.322","0.0007201"
"20.00","1.33","5.535","0.0006932"
"20.50","1.36","5.749","0.0006784"
"21.00","1.40","5.974","0.0007391"
"21.50","1.43","6.198","0.0007308"
"22.00","1.46","6.425","0.0008149"
"22.50","1.50","6.658","0.0008021"
"23.00","1.53","6.895","0.0008358"
"23.50","1.56","7.139","0.0008434"
"24.00","1.60","7.385","0.0009052"
"24.50","1.63","7.631","0.0008777"
"25.00","1.66","7.887","0.0009869"
"25.50","1.70","8.143","0.0009586"
"26.00","1.73","8.406","0.001007"
"26.50","1.76","8.669","0.001008"
"27.00","1.80","8.939","0.001077"
"27.50","1.83","9.208","0.001030"
"28.00","1.86","9.483","0.001107"
"28.50","1.90","9.768","0.001146"
"29.00","1.93","10.05","0.001166"
"29.50","1.96","10.34","0.001226"
"30.00","2.00","10.62","0.001213"
"30.50","2.03","10.91","0.001298"
"31.00","2.06","11.22","0.001320"
"31.50","2.10","11.51","0.001360"
"32.00","2.13","11.81","0.001342"
"32.50","2.16","12.11","0.001493"
"33.00","2.20","12.41","0.001480"
"33.50","2.23","12.72","0.001543"
"34.00","2.26","13.02","0.001502"
"34.50","2.30","13.33","0.001688"
"35.00","2.33","13.64","0.001568"
"35.50","2.36","13.96","0.001683"
"36.00","2.40","14.28","0.001752"
"36.50","2.43","14.59","0.001750"
"37.00","2.46","14.91","0.001787"
"37.50","2.50","15.24","0.001851"
"38.00","2.53","15.56","0.001890"
"38.50","2.56","15.89","0.001895"
"39.00","2.60","16.21","0.001972"
"39.50","2.63","16.55","0.001973"
"40.00","2.66","16.87","0.002112"
"40.50","2.70","17.19","0.002123"
"41.00","2.73","17.52","0.002230"
"41.50","2.76","17.85","0.002242"
"42.00","2.80","18.18","0.002333"
"42.50","2.83","18.51","0.002412"
"43.00","2.86","18.84","0.002507"
"43.50","2.90","19.17","0.002542"
"44.00","2.93","19.50","0.002651"
"44.50","2.96","19.82","0.002687"
"45.00","3.00","20.15","0.002833"
"45.50","3.03","20.47","0.002844"
"46.00","3.06","20.79","0.003065"
"46.50","3.10","21.11","0.003184"
"47.00","3.13","21.42","0.003324"
"47.50","3.16","21.73","0.003372"
"48.00","3.20","22.04","0.003650"
"48.50","3.23","22.34","0.003734"
"49.00","3.26","22.63","0.003921"
"49.50","3.30","22.92","0.004179"
"50.00","3.33","23.20","0.004362"
"50.50","3.36","23.47","0.004554"
"51.00","3.40","23.74","0.004802"
"51.50","3.43","23.99","0.005030"
"52.00","3.46","24.24","0.005273"
"52.50","3.50","24.49","0.005522"
"53.00","3.53","24.72","0.005858"
"53.50","3.56","24.95","0.006160"
"54.00","3.60","25.18","0.006493"
"54.50","3.63","25.40","0.006790"
"55.00","3.66","25.61","0.007217"
"55.50","3.70","25.81","0.007466"
"56.00","3.73","26.02","0.007942"
"56.50","3.76","26.21","0.008278"
"57.00","3.80","26.40","0.008690"
"57.50","3.83","26.59","0.009017"
"58.00","3.86","26.77","0.009537"
"58.50","3.90","26.95","0.009836"
"59.00","3.93","27.12","0.01033"
"59.50","3.96","27.29","0.01069"
"60.00","4.00","27.47","0.01116"
"60.50","4.03","27.63","0.01158"
"61.00","4.06","27.79","0.01206"
"61.50","4.10","27.94","0.01253"
"62.00","4.13","28.09","0.01301"
"62.50","4.16","28.25","0.01349"
"63.00","4.20","28.39","0.01393"
"63.50","4.23","28.54","0.01435"
"64.00","4.26","28.68","0.01481"
"64.50","4.30","28.81","0.01542"
"65.00","4.33","28.95","0.01587"
"65.50","4.36","29.07","0.01640"
"66.00","4.40","29.20","0.01694"
"66.50","4.43","29.33","0.01746"
"67.00","4.46","29.45","0.01796"
"67.50","4.50","29.57","0.01862"
"68.00","4.53","29.68","0.01900"
"68.50","4.56","29.80","0.01963"
"69.00","4.60","29.91","0.02015"
"69.50","4.63","30.01","0.02072"
"70.00","4.66","30.11","0.02126"
"70.50","4.70","30.21","0.02187"
"71.00","4.73","30.31","0.02241"
"71.50","4.76","30.40","0.02305"
"72.00","4.80","30.49","0.02361"
"72.50","4.83","30.58","0.02428"
"73.00","4.86","30.66","0.02486"
"73.50","4.90","30.74","0.02539"
