System ID,,"4483J11304"
Method name only,,"Tension_Round_NEW"
Test type,,"Tension"
Sample file name,,"C04A1045CR"
Last test date,,"Thursday, February 10, 2022"
Last test time,,"1:12:04 PM"
Course,,"CEE 300"
Lab Section Number,,"4"
Group,,"A"
Material,,"1045"
Heat Treatment,,"CR"
Other Information,,""
Crosshead Speed,(mm/min),"4.00"
Geometry,,"Circular"
Gage Diameter,(mm),"7.17"
Grip Diameter,(mm),"12.77"
Rockwell Hardness,,"96.9"
Rockwell Scale,,"HRB"
Extensometer Gage Length,(mm),"25.40"
Final Gage Diameter,(mm),"5.98"
Fracture Notes and Location,,"higher load before failure than normalized - strain at failure lower than normalized - normalized has clear cup and cone fracture surface - coldrolled also had ductile failure surface"
Notes During Test,,""

Results Table 1
,,"1"
Maximum Force,(kN),"33.09"
Maximum Strain,(%),"15.84"

Time,Displacement,Force,Strain 1
(s),(mm),(kN),(mm/mm)
"0.00","0.00","0.1550","-0.00006264"
"0.50","0.03","0.8643","-0.0001733"
"1.00","0.06","1.622","0.000003736"
"1.50","0.10","2.187","0.0001328"
"2.00","0.13","2.656","0.0001990"
"2.50","0.16","3.069","0.0002307"
"3.00","0.20","3.448","0.0002907"
"3.50","0.23","3.792","0.0003653"
"4.00","0.26","4.115","0.0003901"
"4.50","0.30","4.432","0.0004193"
"5.00","0.33","4.743","0.0004573"
"5.50","0.36","5.035","0.0005810"
"6.00","0.40","5.321","0.0005732"
"6.50","0.43","5.599","0.0005545"
"7.00","0.46","5.868","0.0006630"
"7.50","0.50","6.120","0.0006844"
"8.00","0.53","6.369","0.0006877"
"8.50","0.56","6.626","0.0007161"
"9.00","0.60","6.880","0.0007437"
"9.50","0.63","7.142","0.0007657"
"10.00","0.66","7.411","0.0007472"
"10.50","0.70","7.648","0.0008840"
"11.00","0.73","7.920","0.0009081"
"11.50","0.76","8.183","0.0009242"
"12.00","0.80","8.454","0.0009852"
"12.50","0.83","8.729","0.0009851"
"13.00","0.86","9.006","0.001005"
"13.50","0.90","9.290","0.001030"
"14.00","0.93","9.564","0.001086"
"14.50","0.96","9.850","0.001157"
"15.00","1.00","10.14","0.001174"
"15.50","1.03","10.43","0.001207"
"16.00","1.06","10.72","0.001213"
"16.50","1.10","11.02","0.001223"
"17.00","1.13","11.32","0.001325"
"17.50","1.16","11.62","0.001380"
"18.00","1.20","11.93","0.001374"
"18.50","1.23","12.23","0.001447"
"19.00","1.26","12.54","0.001461"
"19.50","1.30","12.85","0.001495"
"20.00","1.33","13.16","0.001505"
"20.50","1.36","13.48","0.001606"
"21.00","1.40","13.79","0.001643"
"21.50","1.43","14.11","0.001623"
"22.00","1.46","14.43","0.001732"
"22.50","1.50","14.75","0.001732"
"23.00","1.53","15.08","0.001763"
