System ID,,"4483J11304"
Method name only,,"Tension_Round_NEW"
Test type,,"Tension"
Sample file name,,"C05A1045CR"
Last test date,,"Friday, February 11, 2022"
Last test time,,"9:05:01 AM"
Course,,"C"
Lab Section Number,,"05"
Group,,"A"
Material,,"Steel 1045"
Heat Treatment,,"Cold Rolled"
Other Information,,""
Crosshead Speed,(mm/min),"4.00"
Geometry,,"Circular"
Gage Diameter,(mm),"7.19"
Grip Diameter,(mm),"12.73"
Rockwell Hardness,,"95.5"
Rockwell Scale,,"HRB"
Extensometer Gage Length,(mm),"25.40"
Final Gage Diameter,(mm),"5.74"
Fracture Notes and Location,,"
cup and cone fracture indicating ductility
cold rolled had a higher peak load compare to normalized
normallized had a higher strain at failure compared to cr"
Notes During Test,,""

Results Table 1
,,"1"
Maximum Force,(kN),"32.47"
Maximum Strain,(%),"16.78"

Time,Displacement,Force,Strain 1
(s),(mm),(kN),(mm/mm)
"0.00","0.00","0.08082","-0.00007808"
"0.50","0.03","0.7084","0.00009644"
"1.00","0.06","1.399","0.0001683"
"1.50","0.10","1.768","0.0002095"
"2.00","0.13","2.063","0.0002177"
"2.50","0.16","2.325","0.0001441"
"3.00","0.20","2.569","0.0003230"
"3.50","0.23","2.810","0.0003150"
"4.00","0.26","3.046","0.0003620"
"4.50","0.30","3.286","0.0003532"
"5.00","0.33","3.523","0.0004163"
"5.50","0.36","3.777","0.0004216"
"6.00","0.40","4.025","0.0005346"
"6.50","0.43","4.286","0.0004703"
"7.00","0.46","4.547","0.0005254"
"7.50","0.50","4.808","0.0006183"
"8.00","0.53","5.067","0.0005947"
"8.50","0.56","5.406","0.0006909"
"9.00","0.60","5.633","0.0006337"
"9.50","0.63","5.950","0.0006613"
"10.00","0.66","6.231","0.0006521"
"10.50","0.70","6.541","0.0007935"
"11.00","0.73","6.815","0.0007076"
"11.50","0.76","7.089","0.0007782"
"12.00","0.80","7.355","0.0008306"
"12.50","0.83","7.623","0.0007580"
"13.00","0.86","7.894","0.0009846"
"13.50","0.90","8.169","0.0008791"
"14.00","0.93","8.451","0.0009654"
"14.50","0.96","8.727","0.001024"
"15.00","1.00","9.008","0.0009189"
"15.50","1.03","9.300","0.001057"
"16.00","1.06","9.583","0.001111"
"16.50","1.10","9.874","0.001120"
"17.00","1.13","10.17","0.001161"
"17.50","1.16","10.46","0.001221"
"18.00","1.20","10.76","0.001233"
"18.50","1.23","11.06","0.001280"
"19.00","1.26","11.37","0.001240"
"19.50","1.30","11.67","0.001367"
"20.00","1.33","11.98","0.001380"
"20.50","1.36","12.30","0.001345"
"21.00","1.40","12.61","0.001498"
"21.50","1.43","12.93","0.001448"
"22.00","1.46","13.24","0.001556"
"22.50","1.50","13.56","0.001519"
"23.00","1.53","13.88","0.001697"
"23.50","1.56","14.21","0.001649"
"24.00","1.60","14.54","0.001684"
"24.50","1.63","14.85","0.001766"
"25.00","1.66","15.18","0.001795"
"25.50","1.70","15.51","0.001804"
"26.00","1.73","15.84","0.001945"
"26.50","1.76","16.17","0.001971"
"27.00","1.80","16.51","0.001977"
"27.50","1.83","16.85","0.002083"
"28.00","1.86","17.18","0.002109"
"28.50","1.90","17.52","0.002149"
"29.00","1.93","17.85","0.002279"
"29.50","1.96","18.19","0.002310"
"30.00","2.00","18.53","0.002366"
"30.50","2.03","18.86","0.002505"
"31.00","2.06","19.20","0.002548"
"31.50","2.10","19.53","0.002581"
"32.00","2.13","19.87","0.002780"
"32.50","2.16","20.21","0.002861"
"33.00","2.20","20.53","0.002854"
"33.50","2.23","20.86","0.003083"
"34.00","2.26","21.19","0.003136"
"34.50","2.30","21.51","0.003250"
"35.00","2.33","21.83","0.003497"
"35.50","2.36","22.15","0.003562"
"36.00","2.40","22.46","0.003645"
"36.50","2.43","22.76","0.003849"
"37.00","2.46","23.06","0.004082"
"37.50","2.50","23.35","0.004222"
"38.00","2.53","23.64","0.004500"
"38.50","2.56","23.93","0.004617"
"39.00","2.60","24.20","0.004974"
"39.50","2.63","24.47","0.005247"
"40.00","2.66","24.72","0.005441"
"40.50","2.70","24.98","0.005754"
"41.00","2.73","25.23","0.006001"
"41.50","2.76","25.46","0.006238"
"42.00","2.80","25.67","0.006569"
"42.50","2.83","25.91","0.007022"
"43.00","2.86","26.12","0.007351"
"43.50","2.90","26.34","0.007663"
"44.00","2.93","26.55","0.008014"
"44.50","2.96","26.75","0.008583"
"45.00","3.00","26.94","0.008896"
"45.50","3.03","27.14","0.009237"
"46.00","3.06","27.33","0.009647"
"46.50","3.10","27.51","0.01019"
"47.00","3.13","27.69","0.01058"
"47.50","3.16","27.87","0.01098"
"48.00","3.20","28.04","0.01147"
"48.50","3.23","28.20","0.01184"
"49.00","3.26","28.37","0.01228"
"49.50","3.30","28.53","0.01283"
"50.00","3.33","28.69","0.01328"
"50.50","3.36","28.84","0.01367"
"51.00","3.40","28.99","0.01432"
"51.50","3.43","29.14","0.01478"
"52.00","3.46","29.28","0.01526"
"52.50","3.50","29.43","0.01574"
"53.00","3.53","29.56","0.01631"
"53.50","3.56","29.70","0.01679"
"54.00","3.60","29.83","0.01726"
"54.50","3.63","29.95","0.01789"
"55.00","3.66","30.08","0.01845"
"55.50","3.70","30.20","0.01893"
"56.00","3.73","30.31","0.01951"
"56.50","3.76","30.43","0.02006"
"57.00","3.80","30.54","0.02063"
"57.50","3.83","30.64","0.02127"
"58.00","3.86","30.75","0.02188"
"58.50","3.90","30.85","0.02249"
"59.00","3.93","30.95","0.02300"
"59.50","3.96","31.04","0.02373"
"60.00","4.00","31.13","0.02431"
"60.50","4.03","31.22","0.02487"
"61.00","4.06","31.30","0.02550"
"61.50","4.10","31.38","0.02625"
"62.00","4.13","31.46","0.02681"
"62.50","4.16","31.53","0.02760"
"63.00","4.20","31.60","0.02826"
"63.50","4.23","31.67","0.02889"
"64.00","4.26","31.74","0.02967"
"64.50","4.30","31.79","0.03032"
"65.00","4.33","31.84","0.03113"
"65.50","4.36","31.90","0.03185"
"66.00","4.40","31.95","0.03264"
"66.50","4.43","32.00","0.03337"
"67.00","4.46","32.04","0.03417"
"67.50","4.50","32.08","0.03488"
"68.00","4.53","32.12","0.03572"
"68.50","4.56","32.16","0.03655"
"69.00","4.60","32.19","0.03731"
"69.50","4.63","32.22","0.03819"
"70.00","4.66","32.26","0.03902"
"70.50","4.70","32.28","0.03978"
"71.00","4.73","32.31","0.04067"
"71.50","4.76","32.33","0.04164"
"72.00","4.80","32.35","0.04246"
"72.50","4.83","32.38","0.04335"
"73.00","4.86","32.39","0.04434"
"73.50","4.90","32.41","0.04522"
"74.00","4.93","32.42","0.04617"
"74.50","4.96","32.43","0.04703"
"75.00","5.00","32.44","0.04804"
"75.50","5.03","32.45","0.04902"
"76.00","5.06","32.46","0.04996"
"76.50","5.10","32.46","0.05099"
"77.00","5.13","32.47","0.05197"
"77.50","5.16","32.47","0.05295"
"78.00","5.20","32.47","0.05408"
"78.50","5.23","32.47","0.05504"
"79.00","5.26","32.47","0.05606"
"79.50","5.30","32.47","0.05725"
"80.00","5.33","32.46","0.05826"
"80.50","5.36","32.45","0.05935"
"81.00","5.40","32.45","0.06049"
"81.50","5.43","32.43","0.06163"
"82.00","5.46","32.43","0.06271"
"82.50","5.50","32.41","0.06382"
"83.00","5.53","32.40","0.06504"
"83.50","5.56","32.38","0.06619"
"84.00","5.60","32.37","0.06738"
"84.50","5.63","32.35","0.06862"
"85.00","5.66","32.32","0.06980"
"85.50","5.70","32.30","0.07098"
"86.00","5.73","32.27","0.07225"
"86.50","5.76","32.25","0.07351"
"87.00","5.80","32.22","0.07470"
"87.50","5.83","32.18","0.07602"
"88.00","5.86","32.15","0.07724"
"88.50","5.90","32.12","0.07849"
"89.00","5.93","32.08","0.07982"
"89.50","5.96","32.05","0.08107"
"90.00","6.00","32.00","0.08236"
"90.50","6.03","31.96","0.08375"
"91.00","6.06","31.91","0.08501"
"91.50","6.10","31.86","0.08635"
"92.00","6.13","31.82","0.08759"
"92.50","6.16","31.77","0.08900"
"93.00","6.20","31.72","0.09028"
"93.50","6.23","31.66","0.09158"
"94.00","6.26","31.61","0.09296"
"94.50","6.30","31.55","0.09426"
"95.00","6.33","31.49","0.09555"
"95.50","6.36","31.43","0.09695"
"96.00","6.40","31.36","0.09827"
"96.50","6.43","31.31","0.09958"
"97.00","6.46","31.24","0.1010"
"97.50","6.50","31.18","0.1023"
"98.00","6.53","31.11","0.1036"
"98.50","6.56","31.03","0.1050"
"99.00","6.60","30.97","0.1063"
"99.50","6.63","30.89","0.1077"
"100.00","6.66","30.82","0.1090"
"100.50","6.70","30.75","0.1104"
"101.00","6.73","30.67","0.1118"
"101.50","6.76","30.59","0.1131"
"102.00","6.80","30.51","0.1144"
"102.50","6.83","30.42","0.1158"
"103.00","6.86","30.34","0.1172"
"103.50","6.90","30.25","0.1185"
"104.00","6.93","30.17","0.1198"
"104.50","6.96","30.07","0.1213"
"105.00","7.00","29.98","0.1226"
"105.50","7.03","29.88","0.1240"
"106.00","7.06","29.79","0.1254"
"106.50","7.10","29.69","0.1267"
"107.00","7.13","29.59","0.1281"
"107.50","7.16","29.48","0.1295"
"108.00","7.20","29.37","0.1309"
"108.50","7.23","29.26","0.1322"
"109.00","7.26","29.16","0.1337"
"109.50","7.30","29.04","0.1350"
"110.00","7.33","28.92","0.1364"
"110.50","7.36","28.79","0.1378"
"111.00","7.40","28.66","0.1393"
"111.50","7.43","28.52","0.1406"
"112.00","7.46","28.38","0.1420"
"112.50","7.50","28.22","0.1434"
"113.00","7.53","28.04","0.1449"
"113.50","7.56","27.79","0.1464"
"113.72","7.58","5.133","0.1678"

