System ID,,"4483J11304"
Method name only,,"Tension_Round_NEW"
Test type,,"Tension"
Sample file name,,"C06A1045CR"
Last test date,,"Wednesday, February 9, 2022"
Last test time,,"6:00:11 PM"
Course,,"CEE 300"
Lab Section Number,,"AB6"
Group,,"A"
Material,,"1045 Steel"
Heat Treatment,,"Cold Rolled"
Other Information,,""
Crosshead Speed,(mm/min),"4.00"
Geometry,,"Circular"
Gage Diameter,(mm),"7.17"
Grip Diameter,(mm),"12.70"
Rockwell Hardness,,"96.3"
Rockwell Scale,,"HRB"
Extensometer Gage Length,(mm),"25.40"
Final Gage Diameter,(mm),"6.10"
Fracture Notes and Location,,"Cup and cone fracture. Ductile. "
Notes During Test,,""

Results Table 1
,,"1"
Maximum Force,(kN),"32.98"
Maximum Strain,(%),"16.82"

Time,Displacement,Force,Strain 1
(s),(mm),(kN),(mm/mm)
"0.00","0.00","-0.08065","-0.00002655"
"0.50","0.03","0.3138","0.00004610"
"1.00","0.06","0.5710","0.00009595"
"1.50","0.10","0.6880","0.0001532"
"2.00","0.13","0.7745","0.0001545"
"2.50","0.16","0.8414","0.0001009"
"3.00","0.20","0.8943","0.0001496"
"3.50","0.23","0.9374","0.0001044"
"4.00","0.26","0.9776","0.0001198"
"4.50","0.30","1.021","0.0002999"
"5.00","0.33","1.065","0.0002068"
"5.50","0.36","1.112","0.0001861"
"6.00","0.40","1.164","0.0002279"
"6.50","0.43","1.218","0.0002161"
"7.00","0.46","1.276","0.0002624"
"7.50","0.50","1.334","0.0002453"
"8.00","0.53","1.393","0.0002639"
"8.50","0.56","1.457","0.0003490"
"9.00","0.60","1.522","0.0003871"
"9.50","0.63","1.593","0.0003719"
"10.00","0.66","1.666","0.0004026"
"10.50","0.70","1.744","0.0003537"
"11.00","0.73","1.820","0.0003271"
"11.50","0.76","1.904","0.0003028"
"12.00","0.80","1.989","0.0004456"
"12.50","0.83","2.084","0.0004178"
"13.00","0.86","2.273","0.0004363"
"13.50","0.90","2.475","0.0004679"
"14.00","0.93","2.645","0.0005019"
"14.50","0.96","2.810","0.0004464"
"15.00","1.00","3.377","0.0008430"
"15.50","1.03","3.515","0.0006075"
"16.00","1.06","3.696","0.0006158"
"16.50","1.10","3.936","0.0006704"
"17.00","1.13","4.024","0.0006144"
"17.50","1.16","4.264","0.0006652"
"18.00","1.20","4.456","0.0007904"
"18.50","1.23","4.651","0.0007026"
"19.00","1.26","4.850","0.0008237"
"19.50","1.30","5.050","0.0007867"
"20.00","1.33","5.255","0.0007455"
"20.50","1.36","5.468","0.0008014"
"21.00","1.40","5.686","0.0008675"
"21.50","1.43","5.905","0.0009388"
"22.00","1.46","6.127","0.0009345"
"22.50","1.50","6.356","0.0009897"
"23.00","1.53","6.589","0.0009564"
"23.50","1.56","6.842","0.0009959"
"24.00","1.60","7.053","0.0009778"
"24.50","1.63","7.305","0.001005"
"25.00","1.66","7.606","0.001165"
"25.50","1.70","7.792","0.001125"
"26.00","1.73","8.057","0.001182"
"26.50","1.76","8.320","0.001154"
"27.00","1.80","8.588","0.001180"
"27.50","1.83","8.860","0.001211"
"28.00","1.86","9.129","0.001359"
"28.50","1.90","9.402","0.001341"
"29.00","1.93","9.680","0.001343"
"29.50","1.96","9.963","0.001368"
"30.00","2.00","10.25","0.001399"
"30.50","2.03","10.53","0.001488"
"31.00","2.06","10.81","0.001509"
"31.50","2.10","11.11","0.001523"
"32.00","2.13","11.40","0.001546"
"32.50","2.16","11.69","0.001575"
"33.00","2.20","12.00","0.001577"
"33.50","2.23","12.29","0.001708"
"34.00","2.26","12.60","0.001726"
"34.50","2.30","12.90","0.001725"
"35.00","2.33","13.21","0.001777"
"35.50","2.36","13.52","0.001798"
"36.00","2.40","13.82","0.001827"
"36.50","2.43","14.13","0.001945"
"37.00","2.46","14.45","0.001944"
"37.50","2.50","14.77","0.001985"
"38.00","2.53","15.08","0.002020"
"38.50","2.56","15.40","0.002062"
"39.00","2.60","15.73","0.002124"
"39.50","2.63","16.05","0.002167"
"40.00","2.66","16.38","0.002221"
"40.50","2.70","16.71","0.002195"
"41.00","2.73","17.03","0.002336"
"41.50","2.76","17.37","0.002339"
"42.00","2.80","17.69","0.002327"
"42.50","2.83","18.03","0.002540"
"43.00","2.86","18.36","0.002533"
"43.50","2.90","18.69","0.002531"
"44.00","2.93","19.02","0.002607"
"44.50","2.96","19.35","0.002708"
"45.00","3.00","19.68","0.002719"
"45.50","3.03","20.02","0.002863"
"46.00","3.06","20.35","0.002895"
"46.50","3.10","20.69","0.002998"
"47.00","3.13","21.01","0.003074"
"47.50","3.16","21.35","0.003128"
"48.00","3.20","21.67","0.003334"
"48.50","3.23","22.00","0.003397"
"49.00","3.26","22.32","0.003489"
"49.50","3.30","22.64","0.003629"
"50.00","3.33","22.95","0.003777"
"50.50","3.36","23.25","0.003866"
"51.00","3.40","23.56","0.004024"
"51.50","3.43","23.86","0.004205"
"52.00","3.46","24.15","0.004394"
"52.50","3.50","24.43","0.004606"
"53.00","3.53","24.71","0.004850"
"53.50","3.56","24.98","0.005023"
"54.00","3.60","25.24","0.005233"
"54.50","3.63","25.49","0.005501"
"55.00","3.66","25.74","0.005847"
"55.50","3.70","25.97","0.006146"
"56.00","3.73","26.20","0.006430"
"56.50","3.76","26.42","0.006783"
"57.00","3.80","26.63","0.007120"
"57.50","3.83","26.84","0.007573"
"58.00","3.86","27.04","0.007984"
"58.50","3.90","27.24","0.008360"
"59.00","3.93","27.42","0.008752"
