System ID,,"4483J11304"
Method name only,,"Tension_Round_NEW"
Test type,,"Tension"
Sample file name,,"C07A1045CR"
Last test date,,"Tuesday, February 8, 2022"
Last test time,,"1:04:10 PM"
Course,,"CEE300"
Lab Section Number,,"AB07"
Group,,"A"
Material,,"1045 Steel"
Heat Treatment,,"Cold Rolled"
Other Information,,""
Crosshead Speed,(mm/min),"4.00"
Geometry,,"Circular"
Gage Diameter,(mm),"7.34"
Grip Diameter,(mm),"12.94"
Rockwell Hardness,,"95.6"
Rockwell Scale,,"HRB"
Extensometer Gage Length,(mm),"25.40"
Final Gage Diameter,(mm),"5.74"
Fracture Notes and Location,,"Cup and cone fracture present, Ductile propertis, More grainy than normalized 1045 steel "
Notes During Test,,"Reached a higher strength than th normalized 1045 steel. Checked by Pablo"

Results Table 1
,,"1"
Maximum Force,(kN),"33.23"
Maximum Strain,(%),"16.99"

Time,Displacement,Force,Strain 1
(s),(mm),(kN),(mm/mm)
"0.00","0.00","0.1314","-0.0002481"
"0.50","0.03","0.8286","-0.0001914"
"1.00","0.06","1.625","-0.0001980"
"1.50","0.10","2.112","0.00001384"
"2.00","0.13","2.513","-0.00005759"
"2.50","0.16","2.881","0.00006649"
"3.00","0.20","3.196","0.00009952"
"3.50","0.23","3.477","0.0001637"
"4.00","0.26","3.736","0.0001757"
"4.50","0.30","3.980","0.0001653"
"5.00","0.33","4.215","0.0002484"
"5.50","0.36","4.435","0.0003191"
"6.00","0.40","4.656","0.0002656"
"6.50","0.43","4.884","0.0002702"
"7.00","0.46","5.103","0.0002768"
"7.50","0.50","5.324","0.0003216"
"8.00","0.53","5.547","0.0003974"
"8.50","0.56","5.775","0.0003815"
"9.00","0.60","5.998","0.0004974"
"9.50","0.63","6.225","0.0004700"
"10.00","0.66","6.455","0.0005007"
"10.50","0.70","6.692","0.0004982"
"11.00","0.73","6.907","0.0005854"
"11.50","0.76","7.143","0.0005544"
"12.00","0.80","7.393","0.0005314"
"12.50","0.83","7.679","0.0006326"
"13.00","0.86","7.881","0.0006674"
"13.50","0.90","8.137","0.0006600"
"14.00","0.93","8.390","0.0007120"
"14.50","0.96","8.656","0.0007226"
"15.00","1.00","8.925","0.0007434"
"15.50","1.03","9.194","0.0007699"
"16.00","1.06","9.465","0.0008720"
"16.50","1.10","9.775","0.0007737"
"17.00","1.13","10.01","0.0008812"
"17.50","1.16","10.30","0.0008905"
"18.00","1.20","10.58","0.0009506"
