System ID,,"4483J11304"
Method name only,,"Tension_Round_NEW"
Test type,,"Tension"
Sample file name,,"C01A2024"
Last test date,,"Monday, February 7, 2022"
Last test time,,"11:23:35 AM"
Course,,"CEE300"
Lab Section Number,,"AB1"
Group,,"A"
Material,,"2024"
Heat Treatment,,""
Other Information,,""
Crosshead Speed,(mm/min),"4.00"
Geometry,,"Circular"
Gage Diameter,(mm),"7.35"
Grip Diameter,(mm),"12.85"
Rockwell Hardness,,"72.0"
Rockwell Scale,,"HRB"
Extensometer Gage Length,(mm),"25.40"
Final Gage Diameter,(mm),"4.91"
Fracture Notes and Location,,"Ductile, appears to be shear failure since the fracture happened at 45 degrees"
Notes During Test,,""

Results Table 1
,,"1"
Maximum Force,(kN),"20.11"
Maximum Strain,(%),"26.41"

Time,Displacement,Force,Strain 1
(s),(mm),(kN),(mm/mm)
"0.00","0.00","0.1822","0.00003012"
"0.50","0.03","0.6862","0.0001590"
"1.00","0.06","1.162","0.0003466"
"1.50","0.10","1.495","0.0003696"
"2.00","0.13","1.777","0.0005621"
"2.50","0.16","2.024","0.0005845"
"3.00","0.20","2.244","0.0006278"
"3.50","0.23","2.447","0.0008158"
"4.00","0.26","2.634","0.0007928"
"4.50","0.30","2.812","0.0008760"
"5.00","0.33","2.980","0.0009485"
"5.50","0.36","3.142","0.0009689"
"6.00","0.40","3.298","0.001136"
"6.50","0.43","3.452","0.001087"
"7.00","0.46","3.609","0.001127"
"7.50","0.50","3.772","0.001261"
"8.00","0.53","3.931","0.001327"
"8.50","0.56","4.090","0.001342"
"9.00","0.60","4.251","0.001397"
"9.50","0.63","4.418","0.001384"
"10.00","0.66","4.584","0.001496"
"10.50","0.70","4.754","0.001538"
"11.00","0.73","4.929","0.001600"
"11.50","0.76","5.104","0.001693"
"12.00","0.80","5.283","0.001824"
"12.50","0.83","5.466","0.001804"
"13.00","0.86","5.647","0.001836"
"13.50","0.90","5.838","0.001932"
"14.00","0.93","6.029","0.002054"
"14.50","0.96","6.223","0.002096"
"15.00","1.00","6.417","0.002218"
"15.50","1.03","6.616","0.002205"
"16.00","1.06","6.815","0.002368"
"16.50","1.10","7.018","0.002275"
"17.00","1.13","7.226","0.002339"
"17.50","1.16","7.431","0.002533"
"18.00","1.20","7.641","0.002583"
"18.50","1.23","7.852","0.002528"
"19.00","1.26","8.064","0.002650"
"19.50","1.30","8.280","0.002831"
"20.00","1.33","8.493","0.002806"
"20.50","1.36","8.715","0.002923"
"21.00","1.40","8.932","0.002929"
"21.50","1.43","9.155","0.003146"
"22.00","1.46","9.375","0.003122"
"22.50","1.50","9.595","0.003277"
"23.00","1.53","9.820","0.003309"
"23.50","1.56","10.04","0.003497"
"24.00","1.60","10.26","0.003626"
"24.50","1.63","10.47","0.003703"
