System ID,,"4483J11304"
Method name only,,"Tension_Round_NEW"
Test type,,"Tension"
Sample file name,,"C02A2024"
Last test date,,"Monday, February 7, 2022"
Last test time,,"3:22:40 PM"
Course,,"CEE300"
Lab Section Number,,"AB02"
Group,,"A"
Material,,"2024 Aluminum"
Heat Treatment,,""
Other Information,,""
Crosshead Speed,(mm/min),"4.00"
Geometry,,"Circular"
Gage Diameter,(mm),"7.26"
Grip Diameter,(mm),"12.85"
Rockwell Hardness,,"73.2"
Rockwell Scale,,"HRB"
Extensometer Gage Length,(mm),"25.40"
Final Gage Diameter,(mm),"6.02"
Fracture Notes and Location,,"45 degree fracture with grainy surface - orange peel effect (wrinkles)"
Notes During Test,,""

Results Table 1
,,"1"
Maximum Force,(kN),"19.72"
Maximum Strain,(%),"21.76"

Time,Displacement,Force,Strain 1
(s),(mm),(kN),(mm/mm)
"0.00","0.00","-0.05267","-0.00002679"
"0.50","0.03","0.2885","0.00009950"
"1.00","0.06","0.4353","0.0002296"
"1.50","0.10","0.5347","0.0002395"
"2.00","0.13","0.6116","0.0002268"
"2.50","0.16","0.6546","0.0002370"
"3.00","0.20","0.6864","0.0003392"
"3.50","0.23","0.7146","0.0004045"
"4.00","0.26","0.7412","0.0003428"
"4.50","0.30","0.7665","0.0003297"
"5.00","0.33","0.7907","0.0004042"
"5.50","0.36","0.8111","0.0004156"
"6.00","0.40","0.8300","0.0003646"
"6.50","0.43","0.8506","0.0003758"
"7.00","0.46","0.8690","0.0005592"
"7.50","0.50","0.8891","0.0002927"
"8.00","0.53","0.9100","0.0005352"
"8.50","0.56","0.9323","0.0004348"
"9.00","0.60","0.9535","0.0004724"
"9.50","0.63","0.9759","0.0003849"
"10.00","0.66","0.9999","0.0005387"
"10.50","0.70","1.028","0.0005092"
"11.00","0.73","1.074","0.0003905"
"11.50","0.76","1.114","0.0004894"
"12.00","0.80","1.184","0.0007205"
"12.50","0.83","1.248","0.0005784"
"13.00","0.86","1.334","0.0006914"
"13.50","0.90","1.712","0.0008694"
"14.00","0.93","1.953","0.0009428"
"14.50","0.96","2.123","0.0009814"
"15.00","1.00","2.257","0.001119"
"15.50","1.03","2.381","0.001071"
"16.00","1.06","2.505","0.001173"
"16.50","1.10","2.628","0.001107"
"17.00","1.13","2.750","0.001244"
"17.50","1.16","2.876","0.001195"
"18.00","1.20","3.001","0.001304"
"18.50","1.23","3.131","0.001343"
"19.00","1.26","3.263","0.001358"
"19.50","1.30","3.397","0.001393"
"20.00","1.33","3.535","0.001462"
"20.50","1.36","3.678","0.001530"
"21.00","1.40","3.823","0.001531"
"21.50","1.43","3.971","0.001650"
"22.00","1.46","4.124","0.001597"
"22.50","1.50","4.281","0.001708"
"23.00","1.53","4.440","0.001863"
"23.50","1.56","4.604","0.001785"
"24.00","1.60","4.768","0.001859"
"24.50","1.63","4.937","0.001965"
"25.00","1.66","5.114","0.001977"
"25.50","1.70","5.290","0.002083"
"26.00","1.73","5.471","0.002155"
"26.50","1.76","5.651","0.002260"
"27.00","1.80","5.837","0.002257"
"27.50","1.83","6.027","0.002311"
"28.00","1.86","6.218","0.002370"
"28.50","1.90","6.411","0.002457"
"29.00","1.93","6.607","0.002459"
"29.50","1.96","6.806","0.002607"
"30.00","2.00","7.009","0.002645"
"30.50","2.03","7.212","0.002693"
"31.00","2.06","7.416","0.002845"
"31.50","2.10","7.624","0.002867"
"32.00","2.13","7.842","0.002917"
"32.50","2.16","8.053","0.002955"
"33.00","2.20","8.268","0.003148"
"33.50","2.23","8.487","0.003269"
"34.00","2.26","8.707","0.003304"
"34.50","2.30","8.930","0.003316"
"35.00","2.33","9.152","0.003468"
"35.50","2.36","9.379","0.003503"
"36.00","2.40","9.609","0.003541"
