System ID,,"4483J11304"
Method name only,,"Tension_Round_NEW"
Test type,,"Tension"
Sample file name,,"C03A2024"
Last test date,,"Wednesday, February 9, 2022"
Last test time,,"11:32:33 AM"
Course,,"C"
Lab Section Number,,"03"
Group,,"A"
Material,,"2024"
Heat Treatment,,""
Other Information,,""
Crosshead Speed,(mm/min),"4.00"
Geometry,,"Circular"
Gage Diameter,(mm),"7.22"
Grip Diameter,(mm),"12.81"
Rockwell Hardness,,"73.9"
Rockwell Scale,,"HRB"
Extensometer Gage Length,(mm),"25.40"
Final Gage Diameter,(mm),"0.00"
Fracture Notes and Location,,"USE GROUP B DATA."
Notes During Test,,""

Results Table 1
,,"1"
Maximum Force,(kN),"19.10"
Maximum Strain,(%),"19.20"

Time,Displacement,Force,Strain 1
(s),(mm),(kN),(mm/mm)
"0.00","0.00","-0.04559","-0.00004405"
"0.50","0.03","0.1254","0.00003362"
"1.00","0.06","0.1693","0.0001038"
"1.50","0.10","0.1852","0.00007263"
"2.00","0.13","0.1984","0.0001183"
"2.50","0.16","0.2062","0.0001009"
"3.00","0.20","0.2144","0.00007653"
"3.50","0.23","0.2227","0.0001208"
"4.00","0.26","0.2266","0.0001134"
"4.50","0.30","0.2308","0.0001749"
"5.00","0.33","0.2328","0.0001314"
"5.50","0.36","0.2323","0.0002755"
"6.00","0.40","0.2342","0.0001598"
"6.50","0.43","0.2356","0.00003267"
"7.00","0.46","0.2392","0.0001926"
"7.50","0.50","0.2460","0.00004657"
"8.00","0.53","0.2466","0.0001277"
"8.50","0.56","0.2498","0.00005356"
"9.00","0.60","0.2533","0.0001424"
"9.50","0.63","0.2533","0.0001232"
"10.00","0.66","0.2555","0.00009333"
"10.50","0.70","0.2528","0.0001499"
"11.00","0.73","0.2540","0.0001063"
"11.50","0.76","0.2542","0.00007391"
"12.00","0.80","0.2539","0.00009353"
"12.50","0.83","0.2553","0.0002017"
"13.00","0.86","0.2550","0.00007250"
"13.50","0.90","0.2500","0.00002584"
"14.00","0.93","0.2614","0.00007567"
"14.50","0.96","0.1301","0.0001135"
"15.00","1.00","0.1005","0.000005686"
"15.50","1.03","0.1880","0.0001586"
"16.00","1.06","0.8018","0.0004113"
"16.50","1.10","1.516","0.0003200"
"17.00","1.13","2.049","0.0008261"
"17.50","1.16","2.534","0.0009067"
"18.00","1.20","2.989","0.0007734"
"18.50","1.23","3.395","0.001104"
"19.00","1.26","3.768","0.001305"
"19.50","1.30","4.109","0.001381"
"20.00","1.33","4.445","0.001537"
"20.50","1.36","4.760","0.001647"
"21.00","1.40","5.042","0.001708"
"21.50","1.43","5.312","0.001799"
"22.00","1.46","5.555","0.001846"
"22.50","1.50","5.789","0.001971"
"23.00","1.53","6.008","0.002013"
"23.50","1.56","6.227","0.002076"
"24.00","1.60","6.439","0.002127"
"24.50","1.63","6.656","0.002261"
