System ID,,"4483J11304"
Method name only,,"Tension_Round_NEW"
Test type,,"Tension"
Sample file name,,"C04A2024"
Last test date,,"Thursday, February 10, 2022"
Last test time,,"1:28:57 PM"
Course,,"CEE300"
Lab Section Number,,"AB4"
Group,,"A"
Material,,"Aluminum 2024"
Heat Treatment,,""
Other Information,,""
Crosshead Speed,(mm/min),"4.00"
Geometry,,"Circular"
Gage Diameter,(mm),"7.24"
Grip Diameter,(mm),"12.81"
Rockwell Hardness,,"74.6"
Rockwell Scale,,"HRB"
Extensometer Gage Length,(mm),"25.40"
Final Gage Diameter,(mm),"6.07"
Fracture Notes and Location,,"Orange peel effect seen close to the fracture surface. Jagged fracture surfaces because of precipitates in the microstructure. Ductile failure. "
Notes During Test,,""

Results Table 1
,,"1"
Maximum Force,(kN),"18.89"
Maximum Strain,(%),"19.36"

Time,Displacement,Force,Strain 1
(s),(mm),(kN),(mm/mm)
"0.00","0.00","0.1429","0.00004013"
"0.50","0.03","0.6254","0.0002525"
"1.00","0.06","1.002","0.0003489"
"1.50","0.10","1.253","0.0003773"
"2.00","0.13","1.473","0.0004061"
"2.50","0.16","1.646","0.0004780"
"3.00","0.20","1.797","0.0004737"
"3.50","0.23","1.931","0.0007048"
"4.00","0.26","2.058","0.0007098"
"4.50","0.30","2.181","0.0007422"
"5.00","0.33","2.304","0.0008049"
"5.50","0.36","2.432","0.0008256"
"6.00","0.40","2.554","0.0009262"
"6.50","0.43","2.676","0.0009387"
"7.00","0.46","2.799","0.0009882"
"7.50","0.50","2.925","0.001012"
"8.00","0.53","3.055","0.001013"
"8.50","0.56","3.189","0.001171"
"9.00","0.60","3.324","0.001124"
"9.50","0.63","3.463","0.001123"
"10.00","0.66","3.605","0.001232"
"10.50","0.70","3.755","0.001271"
"11.00","0.73","3.908","0.001399"
"11.50","0.76","4.058","0.001425"
"12.00","0.80","4.218","0.001410"
"12.50","0.83","4.382","0.001406"
"13.00","0.86","4.579","0.001376"
"13.50","0.90","4.717","0.001636"
"14.00","0.93","4.903","0.001712"
"14.50","0.96","5.062","0.001663"
"15.00","1.00","5.265","0.001790"
"15.50","1.03","5.430","0.001713"
"16.00","1.06","5.617","0.001797"
"16.50","1.10","5.806","0.002062"
"17.00","1.13","6.005","0.002110"
"17.50","1.16","6.166","0.002049"
"18.00","1.20","6.357","0.002208"
"18.50","1.23","6.557","0.002239"
"19.00","1.26","6.756","0.002407"
"19.50","1.30","6.959","0.002432"
"20.00","1.33","7.161","0.002541"
"20.50","1.36","7.371","0.002522"
"21.00","1.40","7.577","0.002523"
"21.50","1.43","7.786","0.002603"
"22.00","1.46","7.999","0.002699"
"22.50","1.50","8.215","0.002816"
"23.00","1.53","8.434","0.002881"
"23.50","1.56","8.652","0.002952"
"24.00","1.60","8.868","0.003056"
"24.50","1.63","9.091","0.003051"
"25.00","1.66","9.317","0.003220"
"25.50","1.70","9.542","0.003311"
"26.00","1.73","9.765","0.003442"
"26.50","1.76","9.991","0.003447"
"27.00","1.80","10.22","0.003465"
"27.50","1.83","10.45","0.003572"
"28.00","1.86","10.68","0.003793"
"28.50","1.90","10.91","0.003681"
"29.00","1.93","11.15","0.003805"
"29.50","1.96","11.38","0.003876"
"30.00","2.00","11.62","0.004013"
"30.50","2.03","11.85","0.004090"
"31.00","2.06","12.09","0.004135"
"31.50","2.10","12.33","0.004195"
"32.00","2.13","12.57","0.004402"
"32.50","2.16","12.81","0.004431"
"33.00","2.20","13.05","0.004454"
"33.50","2.23","13.29","0.004571"
"34.00","2.26","13.54","0.004723"
"34.50","2.30","13.77","0.004737"
"35.00","2.33","14.00","0.004839"
"35.50","2.36","14.20","0.005023"
"36.00","2.40","14.34","0.005290"
"36.50","2.43","14.41","0.005779"
"37.00","2.46","14.46","0.006469"
"37.50","2.50","14.50","0.007138"
"38.00","2.53","14.54","0.007836"
"38.50","2.56","14.58","0.008607"
"39.00","2.60","14.63","0.009250"
"39.50","2.63","14.67","0.009906"
"40.00","2.66","14.72","0.01062"
"40.50","2.70","14.76","0.01128"
"41.00","2.73","14.80","0.01208"
"41.50","2.76","14.85","0.01274"
"42.00","2.80","14.89","0.01338"
"42.50","2.83","14.94","0.01413"
"43.00","2.86","14.99","0.01478"
"43.50","2.90","15.03","0.01538"
"44.00","2.93","15.08","0.01603"
"44.50","2.96","15.12","0.01670"
"45.00","3.00","15.17","0.01745"
"45.50","3.03","15.21","0.01814"
"46.00","3.06","15.26","0.01878"
"46.50","3.10","15.30","0.01950"
"47.00","3.13","15.34","0.02018"
"47.50","3.16","15.39","0.02090"
"48.00","3.20","15.44","0.02152"
"48.50","3.23","15.48","0.02209"
"49.00","3.26","15.52","0.02272"
"49.50","3.30","15.57","0.02332"
"50.00","3.33","15.61","0.02406"
"50.50","3.36","15.65","0.02465"
"51.00","3.40","15.70","0.02528"
"51.50","3.43","15.74","0.02598"
"52.00","3.46","15.78","0.02665"
"52.50","3.50","15.82","0.02739"
"53.00","3.53","15.86","0.02809"
"53.50","3.56","15.90","0.02869"
"54.00","3.60","15.94","0.02932"
"54.50","3.63","15.99","0.03011"
"55.00","3.66","16.02","0.03074"
"55.50","3.70","16.06","0.03134"
"56.00","3.73","16.10","0.03192"
"56.50","3.76","16.14","0.03263"
"57.00","3.80","16.18","0.03328"
"57.50","3.83","16.22","0.03382"
"58.00","3.86","16.25","0.03448"
"58.50","3.90","16.29","0.03513"
"59.00","3.93","16.32","0.03580"
"59.50","3.96","16.37","0.03656"
"60.00","4.00","16.40","0.03723"
"60.50","4.03","16.44","0.03791"
"61.00","4.06","16.47","0.03858"
"61.50","4.10","16.50","0.03926"
"62.00","4.13","16.54","0.03995"
"62.50","4.16","16.57","0.04075"
"63.00","4.20","16.61","0.04139"
"63.50","4.23","16.64","0.04209"
"64.00","4.26","16.68","0.04271"
"64.50","4.30","16.71","0.04336"
"65.00","4.33","16.74","0.04414"
"65.50","4.36","16.77","0.04469"
"66.00","4.40","16.80","0.04532"
"66.50","4.43","16.84","0.04594"
"67.00","4.46","16.87","0.04652"
"67.50","4.50","16.90","0.04713"
"68.00","4.53","16.93","0.04785"
"68.50","4.56","16.96","0.04847"
"69.00","4.60","16.99","0.04916"
"69.50","4.63","17.01","0.04978"
"70.00","4.66","17.05","0.05049"
"70.50","4.70","17.08","0.05124"
"71.00","4.73","17.10","0.05203"
"71.50","4.76","17.13","0.05278"
"72.00","4.80","17.16","0.05352"
"72.50","4.83","17.19","0.05423"
"73.00","4.86","17.22","0.05500"
"73.50","4.90","17.24","0.05572"
"74.00","4.93","17.27","0.05646"
"74.50","4.96","17.30","0.05731"
"75.00","5.00","17.32","0.05800"
"75.50","5.03","17.34","0.05871"
"76.00","5.06","17.37","0.05938"
"76.50","5.10","17.40","0.06003"
"77.00","5.13","17.42","0.06066"
"77.50","5.16","17.44","0.06136"
"78.00","5.20","17.47","0.06194"
"78.50","5.23","17.49","0.06251"
"79.00","5.26","17.53","0.06308"
"79.50","5.30","17.54","0.06375"
"80.00","5.33","17.57","0.06434"
"80.50","5.36","17.59","0.06494"
"81.00","5.40","17.61","0.06554"
"81.50","5.43","17.64","0.06615"
"82.00","5.46","17.65","0.06681"
"82.50","5.50","17.67","0.06747"
"83.00","5.53","17.69","0.06829"
"83.50","5.56","17.71","0.06903"
"84.00","5.60","17.73","0.06982"
"84.50","5.63","17.76","0.07058"
"85.00","5.66","17.78","0.07134"
"85.50","5.70","17.80","0.07217"
"86.00","5.73","17.82","0.07302"
"86.50","5.76","17.83","0.07389"
"87.00","5.80","17.85","0.07488"
"87.50","5.83","17.87","0.07571"
"88.00","5.86","17.89","0.07658"
"88.50","5.90","17.92","0.07749"
"89.00","5.93","17.94","0.07838"
"89.50","5.96","17.96","0.07926"
"90.00","6.00","17.97","0.08014"
