System ID,,"4483J11304"
Method name only,,"Tension_Round_NEW"
Test type,,"Tension"
Sample file name,,"C05A2024"
Last test date,,"Friday, February 11, 2022"
Last test time,,"9:21:00 AM"
Course,,"C"
Lab Section Number,,"05"
Group,,"A"
Material,,"2024"
Heat Treatment,,""
Other Information,,""
Crosshead Speed,(mm/min),"4.00"
Geometry,,"Circular"
Gage Diameter,(mm),"7.22"
Grip Diameter,(mm),"12.79"
Rockwell Hardness,,"75.0"
Rockwell Scale,,"HRB"
Extensometer Gage Length,(mm),"25.40"
Final Gage Diameter,(mm),"5.79"
Fracture Notes and Location,,"ductile failure
orange peel effect near fracture
jagged fracture surface occurs due to precipitates in microstructure"
Notes During Test,,""

Results Table 1
,,"1"
Maximum Force,(kN),"18.99"
Maximum Strain,(%),"24.81"

Time,Displacement,Force,Strain 1
(s),(mm),(kN),(mm/mm)
"0.00","0.00","-0.1452","-0.0001302"
"0.50","0.03","0.1760","0.00001223"
"1.00","0.06","0.7100","0.0002242"
"1.50","0.10","0.9819","0.0002780"
"2.00","0.13","1.141","0.0003031"
"2.50","0.16","1.297","0.0004493"
"3.00","0.20","1.450","0.0005132"
"3.50","0.23","1.619","0.0005340"
"4.00","0.26","1.786","0.0007192"
"4.50","0.30","1.957","0.0007960"
"5.00","0.33","2.132","0.0007542"
"5.50","0.36","2.314","0.0007903"
"6.00","0.40","2.636","0.0008448"
"6.50","0.43","2.511","0.0009194"
"7.00","0.46","2.897","0.0009437"
"7.50","0.50","3.593","0.001097"
"8.00","0.53","3.826","0.001300"
"8.50","0.56","4.087","0.001433"
"9.00","0.60","4.349","0.001484"
"9.50","0.63","4.599","0.001600"
"10.00","0.66","4.854","0.001718"
"10.50","0.70","5.113","0.001739"
"11.00","0.73","5.368","0.001776"
"11.50","0.76","5.625","0.001943"
"12.00","0.80","5.882","0.002025"
"12.50","0.83","6.129","0.002120"
"13.00","0.86","6.377","0.002311"
"13.50","0.90","6.628","0.002326"
"14.00","0.93","6.869","0.002270"
"14.50","0.96","7.100","0.002489"
"15.00","1.00","7.325","0.002488"
"15.50","1.03","7.552","0.002556"
"16.00","1.06","7.776","0.002632"
"16.50","1.10","8.000","0.002787"
"17.00","1.13","8.229","0.002833"
"17.50","1.16","8.452","0.002974"
"18.00","1.20","8.681","0.002946"
"18.50","1.23","8.910","0.003037"
"19.00","1.26","9.142","0.003105"
"19.50","1.30","9.375","0.003066"
"20.00","1.33","9.603","0.003344"
"20.50","1.36","9.841","0.003426"
"21.00","1.40","10.07","0.003412"
"21.50","1.43","10.31","0.003549"
"22.00","1.46","10.55","0.003657"
"22.50","1.50","10.79","0.003686"
"23.00","1.53","11.02","0.003738"
"23.50","1.56","11.27","0.003884"
"24.00","1.60","11.51","0.003891"
"24.50","1.63","11.75","0.004061"
"25.00","1.66","11.99","0.004134"
"25.50","1.70","12.24","0.004201"
"26.00","1.73","12.48","0.004244"
"26.50","1.76","12.73","0.004362"
"27.00","1.80","12.97","0.004488"
"27.50","1.83","13.22","0.004531"
"28.00","1.86","13.46","0.004629"
"28.50","1.90","13.71","0.004815"
"29.00","1.93","13.95","0.004828"
"29.50","1.96","14.17","0.005008"
"30.00","2.00","14.32","0.005168"
"30.50","2.03","14.41","0.005684"
"31.00","2.06","14.47","0.006280"
"31.50","2.10","14.51","0.006937"
"32.00","2.13","14.56","0.007598"
"32.50","2.16","14.60","0.008352"
"33.00","2.20","14.65","0.009112"
"33.50","2.23","14.70","0.009763"
"34.00","2.26","14.74","0.01042"
"34.50","2.30","14.79","0.01104"
"35.00","2.33","14.83","0.01179"
"35.50","2.36","14.88","0.01259"
"36.00","2.40","14.92","0.01333"
"36.50","2.43","14.98","0.01396"
"37.00","2.46","15.02","0.01479"
"37.50","2.50","15.07","0.01542"
"38.00","2.53","15.11","0.01599"
"38.50","2.56","15.16","0.01674"
"39.00","2.60","15.21","0.01738"
"39.50","2.63","15.25","0.01799"
"40.00","2.66","15.30","0.01871"
"40.50","2.70","15.34","0.01937"
"41.00","2.73","15.39","0.02011"
"41.50","2.76","15.43","0.02074"
"42.00","2.80","15.48","0.02146"
"42.50","2.83","15.53","0.02219"
"43.00","2.86","15.57","0.02279"
"43.50","2.90","15.61","0.02344"
"44.00","2.93","15.66","0.02414"
"44.50","2.96","15.69","0.02470"
