System ID,,"4483J11304"
Method name only,,"Tension_Round_NEW"
Test type,,"Tension"
Sample file name,,"C06A2024"
Last test date,,"Wednesday, February 9, 2022"
Last test time,,"6:18:35 PM"
Course,,"CEE300"
Lab Section Number,,"AB6"
Group,,"A"
Material,,"Aluminium"
Heat Treatment,,""
Other Information,,""
Crosshead Speed,(mm/min),"4.00"
Geometry,,"Circular"
Gage Diameter,(mm),"7.20"
Grip Diameter,(mm),"12.96"
Rockwell Hardness,,"73.8"
Rockwell Scale,,"HRB"
Extensometer Gage Length,(mm),"25.40"
Final Gage Diameter,(mm),"6.49"
Fracture Notes and Location,,"Cup and Cone Fracture. Ductile. Orange Peel effect. Pablo was here."
Notes During Test,,""

Results Table 1
,,"1"
Maximum Force,(kN),"18.92"
Maximum Strain,(%),"23.05"

Time,Displacement,Force,Strain 1
(s),(mm),(kN),(mm/mm)
"0.00","0.00","-0.09177","-0.000003819"
"0.50","0.03","0.3370","0.00006679"
"1.00","0.06","0.6028","0.0001460"
"1.50","0.10","0.7195","0.0002667"
"2.00","0.13","0.8026","0.0003434"
"2.50","0.16","0.8815","0.0003013"
"3.00","0.20","0.9644","0.0004843"
"3.50","0.23","1.037","0.0004696"
"4.00","0.26","1.112","0.0004174"
"4.50","0.30","1.180","0.0004737"
"5.00","0.33","1.243","0.0004788"
"5.50","0.36","1.307","0.0004001"
"6.00","0.40","1.372","0.0007004"
"6.50","0.43","1.437","0.0006054"
"7.00","0.46","1.507","0.0006385"
"7.50","0.50","1.575","0.0005975"
"8.00","0.53","1.642","0.0006320"
"8.50","0.56","1.715","0.0006374"
"9.00","0.60","1.788","0.0006480"
"9.50","0.63","1.864","0.0007404"
"10.00","0.66","1.943","0.0007440"
"10.50","0.70","2.025","0.0007318"
"11.00","0.73","2.116","0.0007571"
"11.50","0.76","2.210","0.0008879"
"12.00","0.80","2.459","0.0008984"
"12.50","0.83","2.703","0.001054"
"13.00","0.86","2.890","0.001215"
"13.50","0.90","3.063","0.001106"
"14.00","0.93","3.243","0.001200"
"14.50","0.96","3.418","0.001258"
"15.00","1.00","3.595","0.001231"
"15.50","1.03","3.801","0.001395"
"16.00","1.06","4.558","0.001067"
"16.50","1.10","4.813","0.0009685"
"17.00","1.13","5.062","0.001098"
"17.50","1.16","5.249","0.001090"
"18.00","1.20","5.436","0.001110"
"18.50","1.23","5.623","0.001232"
"19.00","1.26","5.819","0.001270"
"19.50","1.30","6.007","0.001321"
"20.00","1.33","6.202","0.001481"
"20.50","1.36","6.394","0.001525"
"21.00","1.40","6.595","0.001525"
"21.50","1.43","6.801","0.001610"
"22.00","1.46","7.000","0.001635"
"22.50","1.50","7.202","0.001687"
"23.00","1.53","7.414","0.001769"
"23.50","1.56","7.623","0.001914"
"24.00","1.60","7.835","0.001964"
"24.50","1.63","8.047","0.002073"
"25.00","1.66","8.267","0.002164"
"25.50","1.70","8.482","0.002146"
"26.00","1.73","8.704","0.002215"
"26.50","1.76","8.921","0.002344"
"27.00","1.80","9.141","0.002427"
"27.50","1.83","9.373","0.002407"
"28.00","1.86","9.597","0.002596"
"28.50","1.90","9.824","0.002606"
"29.00","1.93","10.05","0.002714"
"29.50","1.96","10.28","0.002833"
"30.00","2.00","10.51","0.002902"
"30.50","2.03","10.75","0.002978"
"31.00","2.06","10.98","0.003035"
"31.50","2.10","11.22","0.003165"
"32.00","2.13","11.45","0.003185"
"32.50","2.16","11.69","0.003322"
"33.00","2.20","11.93","0.003359"
"33.50","2.23","12.17","0.003439"
"34.00","2.26","12.41","0.003502"
"34.50","2.30","12.65","0.003645"
"35.00","2.33","12.89","0.003727"
"35.50","2.36","13.13","0.003753"
"36.00","2.40","13.37","0.003933"
"36.50","2.43","13.61","0.003993"
"37.00","2.46","13.85","0.004049"
"37.50","2.50","14.06","0.004289"
"38.00","2.53","14.20","0.004499"
"38.50","2.56","14.28","0.004898"
"39.00","2.60","14.34","0.005555"
"39.50","2.63","14.38","0.006252"
"40.00","2.66","14.43","0.006892"
"40.50","2.70","14.48","0.007529"
"41.00","2.73","14.52","0.008326"
"41.50","2.76","14.57","0.008954"
"42.00","2.80","14.61","0.009605"
"42.50","2.83","14.66","0.01040"
"43.00","2.86","14.71","0.01108"
"43.50","2.90","14.75","0.01177"
"44.00","2.93","14.80","0.01251"
"44.50","2.96","14.85","0.01315"
"45.00","3.00","14.89","0.01375"
"45.50","3.03","14.94","0.01453"
"46.00","3.06","14.99","0.01514"
