System ID,,"4483J11304"
Method name only,,"Tension_Round_NEW"
Test type,,"Tension"
Sample file name,,"C07A2024"
Last test date,,"Tuesday, February 8, 2022"
Last test time,,"1:23:00 PM"
Course,,"CEE 300"
Lab Section Number,,"AB7"
Group,,"A"
Material,,"2024 Aluminum"
Heat Treatment,,""
Other Information,,""
Crosshead Speed,(mm/min),"4.00"
Geometry,,"Circular"
Gage Diameter,(mm),"7.44"
Grip Diameter,(mm),"12.94"
Rockwell Hardness,,"73.5"
Rockwell Scale,,"HRB"
Extensometer Gage Length,(mm),"25.40"
Final Gage Diameter,(mm),"0.00"
Fracture Notes and Location,,"Shear Fracture, Pure Orange Peel Effect. Angle degree fracture, Ductile. 45 Degree fracture. 4.54 mm Gauge final length."
Notes During Test,,""

Results Table 1
,,"1"
Maximum Force,(kN),"19.41"
Maximum Strain,(%),"23.79"

Time,Displacement,Force,Strain 1
(s),(mm),(kN),(mm/mm)
"0.00","0.00","0.02729","-0.00002567"
"0.50","0.03","0.4883","0.00006586"
"1.00","0.06","0.9888","0.0003765"
"1.50","0.10","1.347","0.0003323"
"2.00","0.13","1.648","0.0005868"
"2.50","0.16","1.906","0.0005435"
"3.00","0.20","2.131","0.0006789"
"3.50","0.23","2.319","0.0006865"
"4.00","0.26","2.494","0.0008395"
"4.50","0.30","2.657","0.0008553"
"5.00","0.33","2.806","0.0009758"
"5.50","0.36","2.947","0.0009817"
"6.00","0.40","3.084","0.001066"
"6.50","0.43","3.224","0.001076"
"7.00","0.46","3.363","0.001092"
"7.50","0.50","3.503","0.001221"
"8.00","0.53","3.648","0.001241"
"8.50","0.56","3.795","0.001314"
"9.00","0.60","3.939","0.001302"
"9.50","0.63","4.088","0.001454"
"10.00","0.66","4.235","0.001312"
"10.50","0.70","4.387","0.001534"
"11.00","0.73","4.544","0.001529"
"11.50","0.76","4.699","0.001663"
"12.00","0.80","4.858","0.001665"
"12.50","0.83","5.020","0.001681"
"13.00","0.86","5.188","0.001816"
"13.50","0.90","5.346","0.001742"
"14.00","0.93","5.964","0.002017"
"14.50","0.96","6.018","0.001922"
"15.00","1.00","6.216","0.002066"
"15.50","1.03","6.404","0.002065"
"16.00","1.06","6.588","0.002190"
"16.50","1.10","6.781","0.002238"
"17.00","1.13","6.973","0.002308"
"17.50","1.16","7.190","0.002401"
"18.00","1.20","7.600","0.002397"
"18.50","1.23","7.710","0.002513"
"19.00","1.26","7.932","0.002513"
"19.50","1.30","8.131","0.002657"
"20.00","1.33","8.358","0.002739"
"20.50","1.36","8.540","0.002755"
"21.00","1.40","8.748","0.002802"
