System ID,,"4483J11304"
Method name only,,"Tension_Round_NEW"
Test type,,"Tension"
Sample file name,,"C01APMMA"
Last test date,,"Monday, February 7, 2022"
Last test time,,"11:55:01 AM"
Course,,"CEE300"
Lab Section Number,,"AB01"
Group,,"A"
Material,,"PMMA"
Heat Treatment,,""
Other Information,,""
Crosshead Speed,(mm/min),"4.00"
Geometry,,"Circular"
Gage Diameter,(mm),"8.05"
Grip Diameter,(mm),"12.89"
Rockwell Hardness,,"0.0"
Rockwell Scale,,"<None>"
Extensometer Gage Length,(mm),"25.40"
Final Gage Diameter,(mm),"8.08"
Fracture Notes and Location,,"Flat surface, shows point of origin on the surface"
Notes During Test,,""

Results Table 1
,,"1"
Maximum Force,(kN),"4.141"
Maximum Strain,(%),"5.057"

Time,Displacement,Force,Strain 1
(s),(mm),(kN),(mm/mm)
"0.00","0.00","-0.009754","-0.00003107"
"0.50","0.03","0.06732","0.0003519"
"1.00","0.06","0.1474","0.0007931"
"1.50","0.10","0.2233","0.001217"
"2.00","0.13","0.2916","0.001569"
"2.50","0.16","0.3591","0.001977"
"3.00","0.20","0.4111","0.002300"
"3.50","0.23","0.4479","0.002559"
"4.00","0.26","0.4563","0.002663"
"4.50","0.30","0.4598","0.002688"
"5.00","0.33","0.4549","0.002746"
"5.50","0.36","0.4434","0.002572"
"6.00","0.40","0.4256","0.002501"
"6.50","0.43","0.4095","0.002438"
"7.00","0.46","0.3923","0.002317"
"7.50","0.50","0.3770","0.002314"
"8.00","0.53","0.3628","0.002208"
"8.50","0.56","0.3528","0.002161"
"9.00","0.60","0.3401","0.002098"
"9.50","0.63","0.3286","0.002105"
"10.00","0.66","0.3205","0.001991"
"10.50","0.70","0.3131","0.001959"
"11.00","0.73","0.3108","0.001944"
"11.50","0.76","0.2850","0.001887"
"12.00","0.80","0.1663","0.001176"
"12.50","0.83","0.2529","0.001596"
"13.00","0.86","0.3000","0.001805"
"13.50","0.90","0.3753","0.002063"
"14.00","0.93","0.4528","0.002682"
"14.50","0.96","0.5261","0.002871"
"15.00","1.00","0.5979","0.003343"
"15.50","1.03","0.6711","0.003705"
"16.00","1.06","0.7385","0.004108"
"16.50","1.10","0.8069","0.004545"
"17.00","1.13","0.8752","0.004979"
"17.50","1.16","0.9380","0.005388"
"18.00","1.20","1.004","0.005724"
"18.50","1.23","1.065","0.006073"
"19.00","1.26","1.130","0.006517"
"19.50","1.30","1.187","0.006814"
"20.00","1.33","1.247","0.007253"
"20.50","1.36","1.306","0.007677"
"21.00","1.40","1.366","0.008112"
"21.50","1.43","1.421","0.008462"
"22.00","1.46","1.475","0.008873"
"22.50","1.50","1.531","0.009180"
"23.00","1.53","1.583","0.009540"
"23.50","1.56","1.634","0.009918"
"24.00","1.60","1.683","0.01023"
"24.50","1.63","1.733","0.01059"
"25.00","1.66","1.778","0.01088"
"25.50","1.70","1.825","0.01124"
"26.00","1.73","1.865","0.01154"
"26.50","1.76","1.908","0.01202"
"27.00","1.80","1.946","0.01221"
"27.50","1.83","1.984","0.01255"
"28.00","1.86","2.018","0.01273"
"28.50","1.90","2.053","0.01304"
"29.00","1.93","2.080","0.01327"
"29.50","1.96","2.107","0.01347"
"30.00","2.00","2.129","0.01371"
"30.50","2.03","2.155","0.01390"
"31.00","2.06","2.180","0.01416"
"31.50","2.10","2.206","0.01443"
"32.00","2.13","2.234","0.01466"
"32.50","2.16","2.257","0.01512"
"33.00","2.20","2.287","0.01510"
"33.50","2.23","2.314","0.01535"
"34.00","2.26","2.340","0.01565"
"34.50","2.30","2.367","0.01585"
"35.00","2.33","2.395","0.01604"
"35.50","2.36","2.423","0.01629"
"36.00","2.40","2.450","0.01657"
"36.50","2.43","2.476","0.01682"
"37.00","2.46","2.502","0.01708"
"37.50","2.50","2.530","0.01735"
"38.00","2.53","2.555","0.01761"
"38.50","2.56","2.581","0.01787"
"39.00","2.60","2.604","0.01815"
"39.50","2.63","2.631","0.01827"
"40.00","2.66","2.657","0.01865"
"40.50","2.70","2.681","0.01878"
"41.00","2.73","2.706","0.01910"
"41.50","2.76","2.729","0.01945"
"42.00","2.80","2.755","0.01962"
"42.50","2.83","2.783","0.01993"
"43.00","2.86","2.806","0.02022"
"43.50","2.90","2.830","0.02053"
"44.00","2.93","2.855","0.02074"
"44.50","2.96","2.881","0.02114"
"45.00","3.00","2.904","0.02131"
"45.50","3.03","2.930","0.02158"
"46.00","3.06","2.952","0.02188"
"46.50","3.10","2.976","0.02211"
"47.00","3.13","3.000","0.02254"
"47.50","3.16","3.025","0.02284"
"48.00","3.20","3.051","0.02314"
"48.50","3.23","3.073","0.02334"
"49.00","3.26","3.097","0.02368"
"49.50","3.30","3.123","0.02400"
"50.00","3.33","3.144","0.02435"
"50.50","3.36","3.168","0.02466"
"51.00","3.40","3.189","0.02483"
"51.50","3.43","3.214","0.02530"
"52.00","3.46","3.238","0.02560"
"52.50","3.50","3.260","0.02593"
"53.00","3.53","3.280","0.02635"
"53.50","3.56","3.304","0.02653"
"54.00","3.60","3.325","0.02693"
"54.50","3.63","3.348","0.02725"
"55.00","3.66","3.368","0.02761"
"55.50","3.70","3.393","0.02802"
"56.00","3.73","3.413","0.02831"
"56.50","3.76","3.437","0.02868"
"57.00","3.80","3.456","0.02903"
"57.50","3.83","3.475","0.02939"
"58.00","3.86","3.498","0.02967"
"58.50","3.90","3.518","0.03008"
"59.00","3.93","3.538","0.03035"
"59.50","3.96","3.555","0.03084"
"60.00","4.00","3.577","0.03122"
"60.50","4.03","3.595","0.03164"
"61.00","4.06","3.614","0.03214"
"61.50","4.10","3.633","0.03243"
"62.00","4.13","3.655","0.03286"
"62.50","4.16","3.670","0.03323"
"63.00","4.20","3.690","0.03352"
"63.50","4.23","3.707","0.03397"
"64.00","4.26","3.724","0.03440"
"64.50","4.30","3.743","0.03487"
"65.00","4.33","3.760","0.03532"
"65.50","4.36","3.778","0.03576"
"66.00","4.40","3.793","0.03612"
"66.50","4.43","3.808","0.03654"
"67.00","4.46","3.823","0.03697"
"67.50","4.50","3.838","0.03734"
"68.00","4.53","3.857","0.03788"
"68.50","4.56","3.870","0.03834"
"69.00","4.60","3.886","0.03880"
"69.50","4.63","3.900","0.03932"
"70.00","4.66","3.914","0.03970"
"70.50","4.70","3.928","0.04015"
"71.00","4.73","3.941","0.04064"
"71.50","4.76","3.954","0.04114"
"72.00","4.80","3.969","0.04170"
"72.50","4.83","3.981","0.04209"
"73.00","4.86","3.991","0.04258"
"73.50","4.90","4.005","0.04301"
"74.00","4.93","4.016","0.04360"
"74.50","4.96","4.028","0.04413"
"75.00","5.00","4.040","0.04465"
"75.50","5.03","4.048","0.04517"
"76.00","5.06","4.060","0.04571"
"76.50","5.10","4.070","0.04626"
"77.00","5.13","4.081","0.04669"
"77.50","5.16","4.088","0.04721"
"78.00","5.20","4.098","0.04778"
"78.50","5.23","4.108","0.04835"
"79.00","5.26","4.116","0.04892"
"79.50","5.30","4.125","0.04939"
"80.00","5.33","4.133","0.04999"
"80.50","5.36","4.141","0.05057"
"80.64","5.37","1.606","0.03547"

