System ID,,"4483J11304"
Method name only,,"Tension_Round_NEW"
Test type,,"Tension"
Sample file name,,"C02APMMA"
Last test date,,"Monday, February 7, 2022"
Last test time,,"3:59:04 PM"
Course,,"CEE 300"
Lab Section Number,,"AB02"
Group,,"A"
Material,,"PMMA"
Heat Treatment,,""
Other Information,,""
Crosshead Speed,(mm/min),"4.00"
Geometry,,"Circular"
Gage Diameter,(mm),"8.12"
Grip Diameter,(mm),"13.04"
Rockwell Hardness,,"0.0"
Rockwell Scale,,"<None>"
Extensometer Gage Length,(mm),"25.40"
Final Gage Diameter,(mm),"8.04"
Fracture Notes and Location,,"Brittle material; fracture was a flat surface"
Notes During Test,,""

Results Table 1
,,"1"
Maximum Force,(kN),"4.167"
Maximum Strain,(%),"5.120"

Time,Displacement,Force,Strain 1
(s),(mm),(kN),(mm/mm)
"0.00","0.00","0.001601","-0.00006679"
"0.50","0.03","0.07635","0.0002630"
"1.00","0.06","0.1596","0.0006744"
"1.50","0.10","0.2399","0.001161"
"2.00","0.13","0.3151","0.001536"
"2.50","0.16","0.3868","0.001942"
"3.00","0.20","0.4579","0.002321"
"3.50","0.23","0.5205","0.002591"
"4.00","0.26","0.5885","0.003136"
"4.50","0.30","0.6529","0.003408"
"5.00","0.33","0.7164","0.003807"
"5.50","0.36","0.7780","0.004146"
"6.00","0.40","0.8393","0.004604"
"6.50","0.43","0.8967","0.004916"
"7.00","0.46","0.9540","0.005279"
"7.50","0.50","1.008","0.005533"
"8.00","0.53","1.060","0.005878"
"8.50","0.56","1.108","0.006259"
"9.00","0.60","1.155","0.006468"
"9.50","0.63","1.197","0.006812"
"10.00","0.66","1.234","0.007048"
"10.50","0.70","1.264","0.007292"
"11.00","0.73","1.296","0.007495"
"11.50","0.76","1.324","0.007613"
"12.00","0.80","1.355","0.007931"
"12.50","0.83","1.385","0.008142"
"13.00","0.86","1.413","0.008267"
"13.50","0.90","1.438","0.008536"
"14.00","0.93","1.467","0.008728"
"14.50","0.96","1.496","0.008967"
"15.00","1.00","1.526","0.009144"
"15.50","1.03","1.553","0.009336"
"16.00","1.06","1.580","0.009610"
"16.50","1.10","1.607","0.009732"
"17.00","1.13","1.635","0.009907"
"17.50","1.16","1.663","0.01009"
"18.00","1.20","1.689","0.01023"
"18.50","1.23","1.718","0.01058"
"19.00","1.26","1.749","0.01068"
"19.50","1.30","1.773","0.01098"
"20.00","1.33","1.803","0.01108"
"20.50","1.36","1.832","0.01139"
"21.00","1.40","1.862","0.01163"
"21.50","1.43","1.889","0.01185"
"22.00","1.46","1.915","0.01191"
"22.50","1.50","1.944","0.01215"
"23.00","1.53","1.974","0.01249"
"23.50","1.56","2.000","0.01270"
"24.00","1.60","2.028","0.01280"
"24.50","1.63","2.057","0.01307"
"25.00","1.66","2.086","0.01336"
"25.50","1.70","2.113","0.01352"
"26.00","1.73","2.139","0.01383"
"26.50","1.76","2.169","0.01393"
"27.00","1.80","2.196","0.01425"
"27.50","1.83","2.226","0.01445"
"28.00","1.86","2.251","0.01454"
"28.50","1.90","2.282","0.01493"
"29.00","1.93","2.311","0.01520"
"29.50","1.96","2.336","0.01546"
"30.00","2.00","2.366","0.01571"
"30.50","2.03","2.393","0.01587"
"31.00","2.06","2.421","0.01615"
"31.50","2.10","2.447","0.01647"
"32.00","2.13","2.476","0.01667"
"32.50","2.16","2.504","0.01701"
"33.00","2.20","2.532","0.01716"
"33.50","2.23","2.558","0.01738"
"34.00","2.26","2.586","0.01783"
"34.50","2.30","2.616","0.01800"
"35.00","2.33","2.643","0.01826"
"35.50","2.36","2.669","0.01848"
"36.00","2.40","2.697","0.01879"
"36.50","2.43","2.724","0.01916"
"37.00","2.46","2.753","0.01938"
"37.50","2.50","2.777","0.01961"
"38.00","2.53","2.803","0.01988"
"38.50","2.56","2.831","0.02021"
"39.00","2.60","2.857","0.02045"
"39.50","2.63","2.883","0.02077"
"40.00","2.66","2.910","0.02105"
"40.50","2.70","2.935","0.02137"
"41.00","2.73","2.963","0.02162"
"41.50","2.76","2.988","0.02190"
"42.00","2.80","3.013","0.02224"
"42.50","2.83","3.040","0.02261"
"43.00","2.86","3.066","0.02288"
"43.50","2.90","3.088","0.02317"
"44.00","2.93","3.114","0.02348"
"44.50","2.96","3.138","0.02362"
"45.00","3.00","3.164","0.02407"
"45.50","3.03","3.188","0.02438"
"46.00","3.06","3.213","0.02482"
"46.50","3.10","3.234","0.02508"
"47.00","3.13","3.259","0.02541"
"47.50","3.16","3.283","0.02574"
"48.00","3.20","3.307","0.02609"
"48.50","3.23","3.328","0.02637"
"49.00","3.26","3.351","0.02681"
"49.50","3.30","3.375","0.02711"
"50.00","3.33","3.399","0.02750"
"50.50","3.36","3.420","0.02798"
"51.00","3.40","3.442","0.02828"
"51.50","3.43","3.464","0.02855"
"52.00","3.46","3.486","0.02894"
"52.50","3.50","3.506","0.02931"
"53.00","3.53","3.530","0.02973"
"53.50","3.56","3.548","0.03004"
"54.00","3.60","3.568","0.03040"
"54.50","3.63","3.590","0.03081"
"55.00","3.66","3.610","0.03127"
"55.50","3.70","3.628","0.03171"
"56.00","3.73","3.648","0.03204"
"56.50","3.76","3.668","0.03237"
"57.00","3.80","3.687","0.03285"
"57.50","3.83","3.708","0.03327"
"58.00","3.86","3.723","0.03371"
"58.50","3.90","3.743","0.03409"
"59.00","3.93","3.762","0.03452"
"59.50","3.96","3.780","0.03501"
"60.00","4.00","3.796","0.03541"
"60.50","4.03","3.810","0.03580"
"61.00","4.06","3.829","0.03635"
"61.50","4.10","3.845","0.03677"
"62.00","4.13","3.862","0.03719"
"62.50","4.16","3.877","0.03761"
"63.00","4.20","3.891","0.03810"
"63.50","4.23","3.907","0.03859"
"64.00","4.26","3.921","0.03902"
"64.50","4.30","3.936","0.03949"
"65.00","4.33","3.947","0.03997"
"65.50","4.36","3.961","0.04049"
"66.00","4.40","3.974","0.04100"
"66.50","4.43","3.989","0.04148"
"67.00","4.46","4.001","0.04193"
"67.50","4.50","4.012","0.04249"
"68.00","4.53","4.024","0.04297"
"68.50","4.56","4.037","0.04351"
"69.00","4.60","4.050","0.04403"
"69.50","4.63","4.059","0.04460"
"70.00","4.66","4.071","0.04507"
"70.50","4.70","4.082","0.04560"
"71.00","4.73","4.093","0.04627"
"71.50","4.76","4.103","0.04676"
"72.00","4.80","4.110","0.04732"
"72.50","4.83","4.121","0.04779"
"73.00","4.86","4.130","0.04831"
"73.50","4.90","4.138","0.04897"
"74.00","4.93","4.145","0.04960"
"74.50","4.96","4.154","0.05008"
"75.00","5.00","4.161","0.05067"
"75.50","5.03","4.167","0.05120"
"75.63","5.04","1.471","0.04189"

