System ID,,"4483J11304"
Method name only,,"Tension_Round_NEW"
Test type,,"Tension"
Sample file name,,"C03APMMA"
Last test date,,"Wednesday, February 9, 2022"
Last test time,,"12:03:20 PM"
Course,,"C"
Lab Section Number,,"03"
Group,,"A"
Material,,"PMMA"
Heat Treatment,,""
Other Information,,""
Crosshead Speed,(mm/min),"4.00"
Geometry,,"Circular"
Gage Diameter,(mm),"8.02"
Grip Diameter,(mm),"12.86"
Rockwell Hardness,,"0.0"
Rockwell Scale,,"<None>"
Extensometer Gage Length,(mm),"25.40"
Final Gage Diameter,(mm),"8.03"
Fracture Notes and Location,,"fracture was perpendicular to loading direction indicating brittle failure. Fractur initiates on the circumference and radiates inwards. Crack initiation point is transparent."
Notes During Test,,""

Results Table 1
,,"1"
Maximum Force,(kN),"4.001"
Maximum Strain,(%),"6.983"

Time,Displacement,Force,Strain 1
(s),(mm),(kN),(mm/mm)
"0.00","0.00","-0.02820","0.00001426"
"0.50","0.03","0.04433","0.0004289"
"1.00","0.06","0.1307","0.001001"
"1.50","0.10","0.2097","0.001458"
"2.00","0.13","0.2860","0.001985"
"2.50","0.16","0.3629","0.002447"
"3.00","0.20","0.4353","0.002979"
"3.50","0.23","0.5069","0.003522"
"4.00","0.26","0.5774","0.003968"
"4.50","0.30","0.6461","0.004462"
"5.00","0.33","0.7123","0.004920"
"5.50","0.36","0.7808","0.005413"
"6.00","0.40","0.8439","0.005810"
"6.50","0.43","0.9110","0.006355"
"7.00","0.46","0.9722","0.006810"
"7.50","0.50","1.034","0.007247"
"8.00","0.53","1.093","0.007792"
"8.50","0.56","1.152","0.008148"
"9.00","0.60","1.212","0.008661"
"9.50","0.63","1.268","0.009025"
"10.00","0.66","1.325","0.009523"
"10.50","0.70","1.376","0.009867"
"11.00","0.73","1.432","0.01033"
"11.50","0.76","1.481","0.01070"
"12.00","0.80","1.527","0.01112"
"12.50","0.83","1.575","0.01153"
"13.00","0.86","1.617","0.01195"
"13.50","0.90","1.659","0.01228"
"14.00","0.93","1.695","0.01261"
"14.50","0.96","1.735","0.01293"
"15.00","1.00","1.771","0.01332"
"15.50","1.03","1.807","0.01363"
"16.00","1.06","1.846","0.01403"
"16.50","1.10","1.881","0.01433"
"17.00","1.13","1.920","0.01470"
"17.50","1.16","1.952","0.01501"
"18.00","1.20","1.988","0.01537"
"18.50","1.23","2.022","0.01570"
"19.00","1.26","2.054","0.01598"
"19.50","1.30","2.089","0.01634"
"20.00","1.33","2.119","0.01664"
"20.50","1.36","2.149","0.01699"
"21.00","1.40","2.181","0.01727"
"21.50","1.43","2.208","0.01762"
"22.00","1.46","2.240","0.01790"
"22.50","1.50","2.268","0.01826"
"23.00","1.53","2.298","0.01850"
"23.50","1.56","2.322","0.01888"
"24.00","1.60","2.354","0.01917"
"24.50","1.63","2.382","0.01943"
"25.00","1.66","2.411","0.01981"
"25.50","1.70","2.438","0.02008"
"26.00","1.73","2.467","0.02046"
"26.50","1.76","2.494","0.02072"
"27.00","1.80","2.523","0.02109"
"27.50","1.83","2.550","0.02137"
"28.00","1.86","2.578","0.02176"
"28.50","1.90","2.605","0.02208"
"29.00","1.93","2.634","0.02246"
"29.50","1.96","2.659","0.02274"
"30.00","2.00","2.685","0.02314"
"30.50","2.03","2.712","0.02345"
"31.00","2.06","2.738","0.02383"
"31.50","2.10","2.767","0.02413"
"32.00","2.13","2.793","0.02450"
"32.50","2.16","2.818","0.02483"
"33.00","2.20","2.844","0.02524"
"33.50","2.23","2.869","0.02564"
"34.00","2.26","2.894","0.02591"
"34.50","2.30","2.920","0.02635"
"35.00","2.33","2.945","0.02666"
"35.50","2.36","2.969","0.02712"
"36.00","2.40","2.996","0.02747"
"36.50","2.43","3.019","0.02786"
"37.00","2.46","3.044","0.02822"
"37.50","2.50","3.068","0.02867"
"38.00","2.53","3.090","0.02900"
"38.50","2.56","3.115","0.02945"
"39.00","2.60","3.137","0.02981"
"39.50","2.63","3.164","0.03033"
"40.00","2.66","3.184","0.03066"
"40.50","2.70","3.209","0.03112"
"41.00","2.73","3.230","0.03149"
"41.50","2.76","3.255","0.03197"
"42.00","2.80","3.275","0.03234"
"42.50","2.83","3.299","0.03280"
"43.00","2.86","3.319","0.03319"
"43.50","2.90","3.338","0.03373"
"44.00","2.93","3.361","0.03410"
"44.50","2.96","3.382","0.03460"
"45.00","3.00","3.404","0.03499"
"45.50","3.03","3.423","0.03548"
"46.00","3.06","3.443","0.03592"
"46.50","3.10","3.460","0.03642"
"47.00","3.13","3.481","0.03689"
"47.50","3.16","3.500","0.03736"
"48.00","3.20","3.522","0.03785"
"48.50","3.23","3.539","0.03836"
"49.00","3.26","3.556","0.03886"
"49.50","3.30","3.575","0.03932"
"50.00","3.33","3.590","0.03987"
"50.50","3.36","3.610","0.04030"
"51.00","3.40","3.625","0.04093"
"51.50","3.43","3.646","0.04134"
"52.00","3.46","3.660","0.04192"
"52.50","3.50","3.678","0.04238"
"53.00","3.53","3.691","0.04297"
"53.50","3.56","3.709","0.04347"
"54.00","3.60","3.723","0.04403"
"54.50","3.63","3.737","0.04464"
"55.00","3.66","3.752","0.04517"
"55.50","3.70","3.766","0.04573"
"56.00","3.73","3.781","0.04625"
"56.50","3.76","3.794","0.04690"
"57.00","3.80","3.807","0.04742"
"57.50","3.83","3.819","0.04809"
"58.00","3.86","3.831","0.04854"
"58.50","3.90","3.844","0.04913"
"59.00","3.93","3.856","0.04980"
"59.50","3.96","3.869","0.05042"
"60.00","4.00","3.880","0.05101"
"60.50","4.03","3.891","0.05164"
"61.00","4.06","3.902","0.05217"
"61.50","4.10","3.911","0.05294"
"62.00","4.13","3.921","0.05349"
"62.50","4.16","3.934","0.05421"
"63.00","4.20","3.942","0.05476"
"63.50","4.23","3.952","0.05543"
"64.00","4.26","3.959","0.05607"
"64.50","4.30","3.969","0.05676"
"65.00","4.33","3.978","0.05739"
"65.50","4.36","3.985","0.05809"
"66.00","4.40","3.993","0.05874"
"66.50","4.43","4.001","0.05946"
"66.89","4.45","1.672","0.06983"

