System ID,,"4483J11304"
Method name only,,"Tension_Round_NEW"
Test type,,"Tension"
Sample file name,,"C04APMMA"
Last test date,,"Thursday, February 10, 2022"
Last test time,,"2:00:08 PM"
Course,,"CEE300"
Lab Section Number,,"AB4"
Group,,"A"
Material,,"PMMA"
Heat Treatment,,""
Other Information,,""
Crosshead Speed,(mm/min),"4.00"
Geometry,,"Circular"
Gage Diameter,(mm),"8.01"
Grip Diameter,(mm),"12.86"
Rockwell Hardness,,"0.0"
Rockwell Scale,,"<None>"
Extensometer Gage Length,(mm),"25.40"
Final Gage Diameter,(mm),"8.03"
Fracture Notes and Location,,"Fracture perpendicular to the loading area, indicating brittle fracture. Crack initiates on the circumferance and radiates inwards. Crack initiation point is transparent."
Notes During Test,,""

Results Table 1
,,"1"
Maximum Force,(kN),"3.981"
Maximum Strain,(%),"4.545"

Time,Displacement,Force,Strain 1
(s),(mm),(kN),(mm/mm)
"0.00","0.00","0.0003596","-0.000006447"
"0.50","0.03","0.08097","0.0004412"
"1.00","0.06","0.1616","0.0007738"
"1.50","0.10","0.2369","0.001260"
"2.00","0.13","0.3074","0.001593"
"2.50","0.16","0.3787","0.001987"
"3.00","0.20","0.4448","0.002398"
"3.50","0.23","0.5090","0.002780"
"4.00","0.26","0.5721","0.003128"
"4.50","0.30","0.6340","0.003444"
"5.00","0.33","0.6904","0.003831"
"5.50","0.36","0.7427","0.004292"
"6.00","0.40","0.7897","0.004422"
"6.50","0.43","0.8269","0.004699"
"7.00","0.46","0.8526","0.004757"
"7.50","0.50","0.8613","0.004958"
"8.00","0.53","0.8659","0.004960"
"8.50","0.56","0.8643","0.004977"
"9.00","0.60","0.8619","0.004950"
"9.50","0.63","0.8540","0.004961"
"10.00","0.66","0.8432","0.004939"
"10.50","0.70","0.8292","0.004857"
"11.00","0.73","0.8174","0.004851"
"11.50","0.76","0.8069","0.004827"
"12.00","0.80","0.7980","0.004771"
"12.50","0.83","0.7881","0.004592"
"13.00","0.86","0.7840","0.004685"
"13.50","0.90","0.7762","0.004675"
"14.00","0.93","0.7728","0.004600"
"14.50","0.96","0.8006","0.004661"
"15.00","1.00","0.8165","0.005042"
"15.50","1.03","0.8721","0.005259"
"16.00","1.06","0.9397","0.005528"
"16.50","1.10","1.002","0.005927"
"17.00","1.13","1.073","0.006278"
"17.50","1.16","1.132","0.006728"
"18.00","1.20","1.199","0.007162"
"18.50","1.23","1.264","0.007540"
"19.00","1.26","1.327","0.007944"
"19.50","1.30","1.387","0.008414"
"20.00","1.33","1.448","0.008674"
"20.50","1.36","1.506","0.009069"
"21.00","1.40","1.566","0.009502"
"21.50","1.43","1.623","0.009936"
"22.00","1.46","1.677","0.01031"
"22.50","1.50","1.732","0.01067"
"23.00","1.53","1.789","0.01108"
