System ID,,"4483J11304"
Method name only,,"Tension_Round_NEW"
Test type,,"Tension"
Sample file name,,"C05APMMA"
Last test date,,"Friday, February 11, 2022"
Last test time,,"9:58:29 AM"
Course,,"C"
Lab Section Number,,"5"
Group,,"A"
Material,,"PMMA"
Heat Treatment,,""
Other Information,,""
Crosshead Speed,(mm/min),"4.00"
Geometry,,"Circular"
Gage Diameter,(mm),"8.07"
Grip Diameter,(mm),"12.88"
Rockwell Hardness,,"0.0"
Rockwell Scale,,"<None>"
Extensometer Gage Length,(mm),"25.40"
Final Gage Diameter,(mm),"8.00"
Fracture Notes and Location,,"flate fracture surface, brittle
crack initiation point is on the circumference of the fracture surface and then radites inwards"
Notes During Test,,""

Results Table 1
,,"1"
Maximum Force,(kN),"3.939"
Maximum Strain,(%),"5.568"

Time,Displacement,Force,Strain 1
(s),(mm),(kN),(mm/mm)
"0.00","0.00","-0.04840","0.00001189"
"0.50","0.03","0.02677","0.0003973"
"1.00","0.06","0.1151","0.0008237"
"1.50","0.10","0.1982","0.001376"
"2.00","0.13","0.2796","0.001818"
"2.50","0.16","0.3551","0.002243"
"3.00","0.20","0.4359","0.002682"
"3.50","0.23","0.5094","0.003184"
"4.00","0.26","0.5843","0.003632"
"4.50","0.30","0.6553","0.004052"
"5.00","0.33","0.7292","0.004550"
"5.50","0.36","0.7984","0.004957"
"6.00","0.40","0.8695","0.005378"
"6.50","0.43","0.9391","0.005864"
"7.00","0.46","1.005","0.006251"
"7.50","0.50","1.073","0.006719"
"8.00","0.53","1.139","0.007117"
"8.50","0.56","1.204","0.007539"
"9.00","0.60","1.269","0.008086"
"9.50","0.63","1.331","0.008418"
"10.00","0.66","1.394","0.008834"
"10.50","0.70","1.457","0.009270"
"11.00","0.73","1.516","0.009721"
"11.50","0.76","1.577","0.01022"
"12.00","0.80","1.635","0.01060"
"12.50","0.83","1.692","0.01102"
"13.00","0.86","1.752","0.01141"
"13.50","0.90","1.809","0.01191"
"14.00","0.93","1.863","0.01235"
"14.50","0.96","1.919","0.01278"
"15.00","1.00","1.973","0.01323"
"15.50","1.03","2.026","0.01367"
"16.00","1.06","2.080","0.01407"
"16.50","1.10","2.131","0.01448"
"17.00","1.13","2.180","0.01504"
"17.50","1.16","2.233","0.01546"
"18.00","1.20","2.280","0.01583"
"18.50","1.23","2.327","0.01624"
"19.00","1.26","2.377","0.01679"
"19.50","1.30","2.422","0.01723"
"20.00","1.33","2.467","0.01762"
"20.50","1.36","2.512","0.01802"
"21.00","1.40","2.554","0.01855"
"21.50","1.43","2.597","0.01892"
"22.00","1.46","2.635","0.01934"
"22.50","1.50","2.674","0.01986"
"23.00","1.53","2.713","0.02023"
"23.50","1.56","2.750","0.02062"
"24.00","1.60","2.784","0.02108"
"24.50","1.63","2.820","0.02153"
"25.00","1.66","2.853","0.02202"
"25.50","1.70","2.885","0.02242"
"26.00","1.73","2.920","0.02287"
"26.50","1.76","2.952","0.02327"
"27.00","1.80","2.982","0.02374"
"27.50","1.83","3.015","0.02424"
"28.00","1.86","3.044","0.02464"
"28.50","1.90","3.075","0.02505"
"29.00","1.93","3.102","0.02551"
"29.50","1.96","3.129","0.02593"
"30.00","2.00","3.159","0.02648"
"30.50","2.03","3.184","0.02691"
"31.00","2.06","3.210","0.02732"
"31.50","2.10","3.238","0.02781"
"32.00","2.13","3.263","0.02825"
"32.50","2.16","3.289","0.02873"
"33.00","2.20","3.312","0.02924"
"33.50","2.23","3.338","0.02972"
"34.00","2.26","3.359","0.03022"
"34.50","2.30","3.385","0.03069"
"35.00","2.33","3.407","0.03123"
"35.50","2.36","3.428","0.03173"
"36.00","2.40","3.451","0.03218"
"36.50","2.43","3.470","0.03269"
"37.00","2.46","3.492","0.03316"
"37.50","2.50","3.512","0.03378"
"38.00","2.53","3.531","0.03425"
"38.50","2.56","3.552","0.03474"
"39.00","2.60","3.569","0.03528"
"39.50","2.63","3.589","0.03582"
"40.00","2.66","3.604","0.03634"
"40.50","2.70","3.621","0.03689"
"41.00","2.73","3.640","0.03745"
"41.50","2.76","3.654","0.03801"
"42.00","2.80","3.671","0.03851"
"42.50","2.83","3.687","0.03907"
"43.00","2.86","3.700","0.03969"
"43.50","2.90","3.718","0.04025"
"44.00","2.93","3.730","0.04078"
"44.50","2.96","3.742","0.04132"
"45.00","3.00","3.757","0.04198"
"45.50","3.03","3.767","0.04257"
"46.00","3.06","3.780","0.04312"
"46.50","3.10","3.794","0.04367"
"47.00","3.13","3.804","0.04432"
"47.50","3.16","3.814","0.04490"
"48.00","3.20","3.827","0.04550"
"48.50","3.23","3.836","0.04616"
"49.00","3.26","3.845","0.04673"
"49.50","3.30","3.855","0.04734"
"50.00","3.33","3.863","0.04787"
"50.50","3.36","3.871","0.04866"
"51.00","3.40","3.880","0.04924"
"51.50","3.43","3.887","0.04984"
"52.00","3.46","3.894","0.05049"
"52.50","3.50","3.904","0.05117"
"53.00","3.53","3.908","0.05182"
"53.50","3.56","3.915","0.05240"
"54.00","3.60","3.923","0.05306"
"54.50","3.63","3.929","0.05379"
"55.00","3.66","3.934","0.05445"
"55.50","3.70","3.939","0.05506"
"55.85","3.72","2.304","0.05568"

