System ID,,"4483J11304"
Method name only,,"Tension_Round_NEW"
Test type,,"Tension"
Sample file name,,"C06APMMA"
Last test date,,"Wednesday, February 9, 2022"
Last test time,,"6:56:33 PM"
Course,,"CEE 300"
Lab Section Number,,"AB6"
Group,,"A"
Material,,"PMMA"
Heat Treatment,,""
Other Information,,""
Crosshead Speed,(mm/min),"4.00"
Geometry,,"Circular"
Gage Diameter,(mm),"8.02"
Grip Diameter,(mm),"12.83"
Rockwell Hardness,,"0.0"
Rockwell Scale,,"<None>"
Extensometer Gage Length,(mm),"25.40"
Final Gage Diameter,(mm),"8.01"
Fracture Notes and Location,,"Flat, brittle, fracture initiation point is shiny."
Notes During Test,,""

Results Table 1
,,"1"
Maximum Force,(kN),"4.008"
Maximum Strain,(%),"5.302"

Time,Displacement,Force,Strain 1
(s),(mm),(kN),(mm/mm)
"0.00","0.00","-0.01410","0.00005566"
"0.50","0.03","0.06221","0.0003951"
"1.00","0.06","0.1388","0.0008669"
"1.50","0.10","0.2110","0.001231"
"2.00","0.13","0.2791","0.001553"
"2.50","0.16","0.3427","0.001953"
"3.00","0.20","0.4050","0.002291"
"3.50","0.23","0.4670","0.002606"
"4.00","0.26","0.5265","0.003044"
"4.50","0.30","0.5823","0.003342"
"5.00","0.33","0.6368","0.003670"
"5.50","0.36","0.6827","0.003968"
"6.00","0.40","0.7295","0.004275"
"6.50","0.43","0.7691","0.004481"
"7.00","0.46","0.8034","0.004727"
"7.50","0.50","0.8307","0.004871"
"8.00","0.53","0.8597","0.005086"
"8.50","0.56","0.8890","0.005359"
"9.00","0.60","0.9168","0.005546"
"9.50","0.63","0.9457","0.005686"
"10.00","0.66","0.9701","0.005947"
"10.50","0.70","0.9986","0.006151"
"11.00","0.73","1.027","0.006286"
"11.50","0.76","1.049","0.006470"
"12.00","0.80","1.072","0.006623"
"12.50","0.83","1.094","0.006766"
"13.00","0.86","1.117","0.006947"
"13.50","0.90","1.141","0.007107"
"14.00","0.93","1.163","0.007306"
"14.50","0.96","1.188","0.007478"
"15.00","1.00","1.210","0.007661"
"15.50","1.03","1.231","0.007717"
"16.00","1.06","1.249","0.007847"
"16.50","1.10","1.268","0.008104"
"17.00","1.13","1.288","0.008236"
"17.50","1.16","1.307","0.008310"
"18.00","1.20","1.325","0.008462"
