System ID,,"4483J11304"
Method name only,,"Tension_Round_NEW"
Test type,,"Tension"
Sample file name,,"C07APMMA"
Last test date,,"Tuesday, February 8, 2022"
Last test time,,"1:58:54 PM"
Course,,"CEE300"
Lab Section Number,,"AB7"
Group,,"A"
Material,,"PMMA"
Heat Treatment,,""
Other Information,,""
Crosshead Speed,(mm/min),"4.00"
Geometry,,"Circular"
Gage Diameter,(mm),"8.02"
Grip Diameter,(mm),"12.81"
Rockwell Hardness,,"0.0"
Rockwell Scale,,"<None>"
Extensometer Gage Length,(mm),"25.40"
Final Gage Diameter,(mm),"8.08"
Fracture Notes and Location,,"Brittle Material, Flat Fracture , Fast Break , Visible Initiation point."
Notes During Test,,""

Results Table 1
,,"1"
Maximum Force,(kN),"3.819"
Maximum Strain,(%),"5.304"

Time,Displacement,Force,Strain 1
(s),(mm),(kN),(mm/mm)
"0.00","0.00","0.02690","-0.00004730"
"0.50","0.03","0.1012","0.0003601"
"1.00","0.06","0.1779","0.0007420"
"1.50","0.10","0.2542","0.001183"
"2.00","0.13","0.3276","0.001532"
"2.50","0.16","0.3985","0.002013"
"3.00","0.20","0.4659","0.002343"
"3.50","0.23","0.5347","0.002799"
"4.00","0.26","0.6002","0.003129"
"4.50","0.30","0.6658","0.003549"
"5.00","0.33","0.7291","0.003913"
"5.50","0.36","0.7890","0.004368"
"6.00","0.40","0.8513","0.004738"
"6.50","0.43","0.9093","0.005001"
"7.00","0.46","0.9654","0.005594"
"7.50","0.50","1.022","0.005745"
"8.00","0.53","1.075","0.006126"
"8.50","0.56","1.128","0.006416"
"9.00","0.60","1.175","0.006814"
"9.50","0.63","1.221","0.006890"
"10.00","0.66","1.257","0.007297"
"10.50","0.70","1.291","0.007572"
"11.00","0.73","1.326","0.007750"
"11.50","0.76","1.355","0.008084"
"12.00","0.80","1.389","0.008227"
"12.50","0.83","1.418","0.008508"
"13.00","0.86","1.442","0.008656"
"13.50","0.90","1.472","0.008790"
"14.00","0.93","1.497","0.009070"
"14.50","0.96","1.527","0.009262"
"15.00","1.00","1.553","0.009519"
"15.50","1.03","1.578","0.009660"
"16.00","1.06","1.608","0.009957"
"16.50","1.10","1.634","0.01009"
"17.00","1.13","1.664","0.01028"
"17.50","1.16","1.691","0.01055"
"18.00","1.20","1.715","0.01072"
"18.50","1.23","1.744","0.01097"
"19.00","1.26","1.770","0.01113"
"19.50","1.30","1.800","0.01145"
"20.00","1.33","1.826","0.01161"
"20.50","1.36","1.851","0.01183"
"21.00","1.40","1.881","0.01201"
"21.50","1.43","1.907","0.01232"
"22.00","1.46","1.937","0.01251"
"22.50","1.50","1.963","0.01268"
"23.00","1.53","1.992","0.01294"
"23.50","1.56","2.019","0.01314"
"24.00","1.60","2.045","0.01344"
"24.50","1.63","2.075","0.01366"
"25.00","1.66","2.101","0.01385"
"25.50","1.70","2.129","0.01414"
"26.00","1.73","2.154","0.01437"
"26.50","1.76","2.183","0.01462"
"27.00","1.80","2.210","0.01482"
