Sample_Name,Material_Type,Tensile_Strength,Fracture_Strain,Elastic_Modulus,Yield_Strength
C01A1045CR_1,1045CR,787.9853962470363,0.1614,204.48360347511277,591.0496055465012
C02A1045CR_1,1045CR,808.2818259006015,0.169,187.25251265410972,615.2701167270867
C03A1045CR_1,1045CR,780.832536990291,0.1673,206.07287355644328,581.460615688504
C04A1045CR_1,1045CR,819.5370166505515,0.1584,189.37660166056475,627.5934724063153
C05A1045CR_1,1045CR,799.7138665692523,0.1678,211.22350766615887,596.0294293494273
C06A1045CR_1,1045CR,816.81265666773,0.1682,187.38946860984245,625.1167815128414
C07A1045CR_1,1045CR,785.3230418139093,0.1699,208.5144956704921,605.7125958979988
C01A2024_1,2024,473.9663518834583,0.2641,67.91973865120738,288.4807631553222
C02A2024_1,2024,476.36932476867486,0.2176,64.8677183750668,354.61976103469306
C03A2024_1,2024,466.5187365129491,0.192,72.6194161172565,354.40768936140785
C04A2024_1,2024,458.84388068219886,0.1936,69.34127686907144,352.20943726267245
C05A2024_1,2024,463.8319793916702,0.2481,69.63816298215642,354.40768936140785
C06A2024_1,2024,464.6931363115216,0.2305,109.65850256999525,350.7303375543619
C07A2024_1,2024,446.4674305430813,0.2379,68.19989930707435,344.10884909451295
C01APMMA_1,PMMA,81.36236958062278,0.05057,3.3345726004633147,47.607104924860906
C02APMMA_1,PMMA,80.46769490450241,0.0512,3.1041642360930304,52.08096308073987
C03APMMA_1,PMMA,79.20086657554037,0.06983,2.7401631572014935,45.48952546628137
C04APMMA_1,PMMA,79.0018504894893,0.04545,3.2216074851617704,51.933645498867996
C05APMMA_1,PMMA,77.01033808438562,0.05568,3.1346379779181106,46.47209282218446
C06APMMA_1,PMMA,79.33943345032885,0.05302,2.933374650143233,53.209679918783436
C07APMMA_1,PMMA,75.5981278310394,0.05304,3.179665313074314,49.09226421078233

